"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","waste_received_from_producer","waste_received_from_other_producer","waste_received_from_collector","waste_received_from_processing_operator","waste_received_from_other_EU_country","waste_received_from_other_country_outside_EU"
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1594.448,0,477.61,438.05,678.788,0,0
2019,"BLOK reciklaža odpadne elektronike in zbiranje odpadnih barvnih kovin d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.969,0,1.969,0,0,0,0
2019,"BREST-POHIŠTVO d.o.o. Cerknica, podjetje za proizvodnjo in promet pohištva ter opreme","PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",513.25,0,513.25,0,0,0,0
2019,"BREZOVNIK PREVOZI&GRADBENIŠTVO storitve d.o.o.","KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",13.36,0,13.36,0,0,0,0
2019,"CENTER PONOVNE UPORABE, izvajanje postopkov za ponovno uporabo rabljene opreme, d.o.o., so.p.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1.78,0,0,1.78,0,0,0
2019,"CENTER PONOVNE UPORABE, izvajanje postopkov za ponovno uporabo rabljene opreme, d.o.o., so.p.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5.04,0,5.04,0,0,0,0
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.14,0,0.14,0,0,0,0
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",118.44,0,118.44,0,0,0,0
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1009.81,0,1009.81,0,0,0,0
2019,"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.14,0,0.14,0,0,0,0
2019,"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1871.3,0,1129.99,741.31,0,0,0
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",116.385,0,116.385,0,0,0,0
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",899.14,0,94.6,0,804.54,0,0
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3175.776,2969.485,206.291,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",48.82,0,48.82,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",422.673,0,422.673,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3242.268,0,3051.632,184.086,6.55,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1134.239,0,1134.239,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",11.8,0,11.8,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",24.978,0,24.978,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",6.126,0,6.126,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5026.428,0,4554.137,461.38,10.911,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",67.543,0,67.543,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0.2,0,0.2,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",676.673,0,478.009,198.664,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",123.219,0,114.469,8.75,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",510.374,0,480.273,30.101,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1914.213,0,1914.213,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2225.565,0,1913.348,312.217,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5064.991,0,4615.563,126.98,322.448,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2495.013,0,2465.559,29.454,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",111.52,0,103.6,7.92,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",4.561,0,0.841,3.72,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",11.05,0,11.05,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1888.026,0,1787.093,100.933,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",181.358,0,131.724,49.634,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",45.5,0,45.5,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2260.715,0,1643.498,75.696,541.521,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",362.092,0,359.192,2.9,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",78.99,0,78.99,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",4.866,0,4.866,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.58,0,12.58,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1334.985,0,989.93,307.489,37.566,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",88.91,0,88.91,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1.91,0,1.91,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",27.754,0,27.754,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3942.082,0,0.816,3941.266,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14137.369,0,310.306,11575.649,2251.414,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1823.404,0,155.889,1667.515,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",144.919,0,5.426,139.493,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",1763.633,0,5.21,1733.963,24.46,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0.088,0,0.088,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",19836.092,0,521.965,17760.818,1553.309,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",79.234,0,0.38,78.854,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",199.08,0,199.08,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1258.522,0,989.846,246.236,22.44,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",189.506,0,164.266,25.24,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1247.426,0,1230.726,16.7,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",120.279,0,115.619,0,4.66,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1914.6,0,1914.6,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1915.672,0,1510.84,11.06,393.772,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",267.495,0,267.495,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",23.22,0,0,0,23.22,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1564.915,0,1452.826,112.089,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1.8,0,1.8,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1657.981,0,1657.981,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7931.682,0,3585.138,1898.571,2447.973,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",971.093,0,971.093,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",129.38,0,129.38,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",3.7,0,3.7,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4273.59,0,1408.946,1435.182,1429.462,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.82,0,35.82,0,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",36.26,0,36.26,0,0,0,0
2019,"ECO SM, PREDELAVA IN STORITVE, D.O.O.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",441.4,0,441.4,0,0,0,0
2019,"EKO - TCE Tehnološki center za aplikativno ekologijo d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.14,0,0,0.14,0,0,0
2019,"EKO - TCE Tehnološki center za aplikativno ekologijo d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9.48,0,0,9.48,0,0,0
2019,"EKO RECIKLAŽA trgovina, zbiranje in predelava sekundarnih surovin d.o.o.","GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",177.07,0,176.29,0,0.78,0,0
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",223.916,0,223.916,0,0,0,0
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",729.74,0,58.74,0,671,0,0
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1867.8,0,0,0,1867.8,0,0
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",30.02,0,0,0,30.02,0,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",422.38,0,0,0,0,422.38,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3206.194,0,0,0,0,3206.194,0
2019,"FUNDACIJA VINCENCA DRAKSLERJA ZA ODVISNIKE - USTANOVA ZA ZDRAVLJENJE ODVISNIKOV, POMOČ ODVISNIKOM IN NJIHOVIM SVOJCEM, SO.P.","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",22.047,0,22.047,0,0,0,0
2019,"GOR, gospodarjenje z odpadki in reciklaža d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.06,0,13.06,0,0,0,0
2019,"GRANULA KOVINOPLASTIKA FRANCI LOGAR S.P.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8,0,8,0,0,0,0
2019,"GS Fotoreciklaža, družba za ravnanje z odpadki, d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.52,0,1.52,0,0,0,0
2019,"HAFNER BOŠTJANČIČ, gradbeno podjetje, d.o.o.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",30,0,30,0,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",461.26,0,461.26,0,0,0,0
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",63.14,0,63.14,0,0,0,0
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",17.36,0,17.36,0,0,0,0
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4958.07,0,4958.07,0,0,0,0
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",10174.82,0,7609.28,2426.3,139.24,0,0
2019,"JE-EMB, proizvodnja in prodaja lesene embalaže, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",639.97,0,47.855,0,592.115,0,0
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7370.99,0,4662.75,2703.96,4.28,0,0
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",717.218,0,453.41,263.808,0,0,0
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1029.055,0,275.218,753.837,0,0,0
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1344.086,0,844.172,347.034,152.88,0,0
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1993.031,0,872.653,1093.178,27.2,0,0
2019,"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9.16,0,9.16,0,0,0,0
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",631.778,0,261.539,286.801,83.438,0,0
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",690.48,0.58,301.82,388.08,0,0,0
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",735.76,0,602.44,133.32,0,0,0
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4713.77,0,2174.53,2539.24,0,0,0
2019,"KEMIS kemični izdelki, predelava in odstranjevanje odpadkov d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.121,0,0,0.121,0,0,0
2019,"KOCEROD, družba za ravnanje z odpadki d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",117.2,0,100.46,16.74,0,0,0
2019,"KOCEROD, družba za ravnanje z odpadki d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2146.4,0,2146.4,0,0,0,0
2019,"KOGAL proizvodnja, trgovina, storitve, posredništvo, kmetijstvo, promet, gradbeništvo, nepremičnine d.o.o.","PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",85.14,0,0,85.14,0,0,0
2019,"KOGAL proizvodnja, trgovina, storitve, posredništvo, kmetijstvo, promet, gradbeništvo, nepremičnine d.o.o.","PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2900.85,0,0,969.85,1931,0,0
2019,"KOLIČEVO KARTON Proizvodnja kartona, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",456.965,0,16.68,159.898,280.387,0,0
2019,"KOLIČEVO KARTON Proizvodnja kartona, d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",83714.194,0,23.393,242.78,83448.021,0,0
2019,"KOLIČEVO KARTON Proizvodnja kartona, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",59256.129,0,0.31,171.753,6858.066,48125,4101
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1648.12,0,1642.38,5.74,0,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",88.52,0,88.52,0,0,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3690,0,3591.8,98.2,0,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12909.055,0,7805.533,2301.682,2733.48,68.36,0
