"year","statistical_region","treatment_inlet_waste_code","type_of_waste","quantity_treated","treatment_code","description_of_treatment"
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",590000,"R_01","co-incineration - energy production"
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",994190,"R_03","recycling"
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",42380,"R_0302","aerobic treatment (composting plants)"
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",17980,"R_12","conversion to solid fuel"
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1525020,"R_12, R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","15 01 01","Paper/Cardboard Packaging",4158119,"R_03","recycling"
2023,"OSREDNJESLOVENSKA","15 01 01","Paper/Cardboard Packaging",47464914,"R_12, R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","15 01 01","Paper/Cardboard Packaging",413278,"R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",838570,"PU","preparation for re-use"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",65780,"R_01","use of biomass as fuel"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",10585153,"R_03","recycling"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",18800,"R_0302","aerobic treatment (composting plants)"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",7171805,"R_12, R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",297930,"R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",2883170,"R_03","recycling"
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",48246,"R_12","pre-treatment"
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",274060,"R_12","conversion to solid fuel"
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",1304882,"R_12, R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",75540,"R_13","pre-treatment"
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",2438086,"BO","no treatment"
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",27424017,"R_03","recycling"
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",3694690,"R_0302","aerobic treatment (composting plants)"
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",533960,"R_12","conversion to solid fuel"
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",23855821,"R_12, R_13","pre-treatment"
2023,"PODRAVSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",79180,"R_12, R_13","pre-treatment"
2023,"PODRAVSKA","15 01 01","Paper/Cardboard Packaging",18356,"R_12","conversion to solid fuel"
2023,"PODRAVSKA","15 01 01","Paper/Cardboard Packaging",12691961,"R_12, R_13","pre-treatment"
2023,"PODRAVSKA","15 01 03","Wooden packaging",4838255,"R_12, R_13","pre-treatment"
2023,"PODRAVSKA","17 02 01","Wood",408560,"R_12, R_13","pre-treatment"
2023,"PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",503438,"BO","no treatment"
2023,"PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",1306320,"R_0302","aerobic treatment (composting plants)"
2023,"PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",87920,"R_12, R_13","pre-treatment"
2023,"POMURSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1953030,"R_12, R_13","pre-treatment"
2023,"POMURSKA","15 01 01","Paper/Cardboard Packaging",166035,"BO","no treatment"
2023,"POMURSKA","15 01 01","Paper/Cardboard Packaging",3446873,"R_12, R_13","pre-treatment"
2023,"POMURSKA","15 01 03","Wooden packaging",786357,"R_12, R_13","pre-treatment"
2023,"POMURSKA","17 02 01","Wood",48240,"R_12, R_13","pre-treatment"
2023,"POMURSKA","20 01 38","Wood, not specified in 20 01 37",1004160,"R_12","pre-treatment"
2023,"POMURSKA","20 01 38","Wood, not specified in 20 01 37",352580,"R_12, R_13","pre-treatment"
2023,"POSAVSKA","15 01 01","Paper/Cardboard Packaging",2459520,"BO","no treatment"
2023,"POSAVSKA","15 01 01","Paper/Cardboard Packaging",2305626,"R_12","pre-treatment"
2023,"POSAVSKA","15 01 01","Paper/Cardboard Packaging",866559,"R_12, R_13","pre-treatment"
2023,"POSAVSKA","15 01 03","Wooden packaging",45681,"R_01","use of biomass as fuel"
2023,"POSAVSKA","15 01 03","Wooden packaging",169610,"R_12, R_13","pre-treatment"
2023,"POSAVSKA","20 01 38","Wood, not specified in 20 01 37",1997013,"R_01","use of biomass as fuel"
2023,"POSAVSKA","20 01 38","Wood, not specified in 20 01 37",1460,"R_12, R_13","pre-treatment"
2023,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper/Cardboard Packaging",115919,"R_12, R_13","pre-treatment"
2023,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden packaging",53548,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1000,"R_01","co-incineration - energy production"
2023,"SAVINJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",299960,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","03 01 99","Miscellaneous Waste",1180780,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","15 01 01","Paper/Cardboard Packaging",17740,"BO","no treatment"
2023,"SAVINJSKA","15 01 01","Paper/Cardboard Packaging",24160,"R_03","recycling"
2023,"SAVINJSKA","15 01 01","Paper/Cardboard Packaging",21403400,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","15 01 03","Wooden packaging",20680,"BO","no treatment"
2023,"SAVINJSKA","15 01 03","Wooden packaging",591320,"R_01","co-incineration - energy production"
2023,"SAVINJSKA","15 01 03","Wooden packaging",6893453,"R_03","processing into wood chips"
2023,"SAVINJSKA","15 01 03","Wooden packaging",6900247,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","17 02 01","Wood",20970,"D_01","disposal"
2023,"SAVINJSKA","17 02 01","Wood",284630,"R_03","processing into wood chips"
2023,"SAVINJSKA","17 02 01","Wood",2620,"R_12","pre-treatment"
2023,"SAVINJSKA","17 02 01","Wood",353359,"R_12, R_13","pre-treatment"
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",1263040,"R_01","co-incineration - energy production"
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",1569417,"R_03","processing into wood chips"
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",70000,"R_0302","aerobic treatment (composting plants)"
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",1507420,"R_12","pre-treatment"
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",455255,"R_12, R_13","pre-treatment"
2023,"ZASAVSKA","15 01 01","Paper/Cardboard Packaging",4965,"BO","no treatment"
2023,"ZASAVSKA","17 02 01","Wood",11580,"BO","no treatment"
2023,"ZASAVSKA","20 01 38","Wood, not specified in 20 01 37",103355,"BO","no treatment"
2023,"ZASAVSKA","20 01 38","Wood, not specified in 20 01 37",516150,"R_12, R_13","pre-treatment"
