"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",NA,7.379,0,0,0,0,0
2023,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12, R_13",0,0,4.989,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_12, R_13","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)",NA,0,1558.85,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",NA,0,1638.13,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12",0,0,249.629,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,21.55,218.351,65.16,0
2023,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,665.354,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,0,823.39,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 03 99","Other Unspecified Paper Waste (03 03 99)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,0,10.732,0,0
2023,"JUGOVZHODNA SLOVENIJA","07 02 13","Waste Plastics (07 02 13)","R_03","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,113.1,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","07 02 13","Waste Plastics (07 02 13)","R_03","15 01 03","Wooden Packaging (15 01 03)","R_03",0,0,38.81,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,0,4863.031,24.07,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12",0,0,590.814,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)",NA,151.987,0,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,634.283,75.64,0.54,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,38.5,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,80.417,0,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12",0,0,86.307,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,0,33.455,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",NA,58.049,0,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_03",0,0,465.78,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13",0,0,1828.421,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",NA,0,34.92,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12, R_13",0,0,86.975,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12",0,0,293.058,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,0,0,22.98,0
2023,"JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,0.52,0,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",NA,0,1.56,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,294.963,568.379,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,820.628,607.9,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13",0,0,19.41,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",NA,0,16.82,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","D_01","20 03 07","Bulky Municipal Waste (20 03 07)",NA,0,0,0,0,0,11354.86
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","16 01 03","End-of-Life Tyres (16 01 03)",NA,0,1.52,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 01 23*","Discarded Equipment Containing CFCs (20 01 23*)",NA,0,22.64,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 01 35*","Hazardous Waste Electrical Equipment (20 01 35*)",NA,0,6.76,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 01 36","Non-Hazardous Waste Electrical Equipment (20 01 36)","R_12, R_13",0,0,32.16,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 01 36","Non-Hazardous Waste Electrical Equipment (20 01 36)",NA,0,35.12,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13",0,0,98.56,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_01",0,0,4.989,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12",0,0,22.715,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 01 40","Metals from Municipal Waste (20 01 40)",NA,0,48.34,0,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13",0,0,1442.81,0,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 03 07","Bulky Municipal Waste (20 03 07)",NA,135.09,0,0,0,0,0
2023,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_01","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","D_01",0,0,8.12,0,0,0
2023,"KOROŠKA","03 03 99","Other Unspecified Paper Waste (03 03 99)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,131.164,0,0,0
2023,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,0,1069.665,0,0
2023,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)",NA,0,51.945,0,0,0,0
2023,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_08,09",0,0,7.8,0,0,0
2023,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,0,32.666,0,0
2023,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_03",0,0,301.94,0,0,0
2023,"KOROŠKA","15 01 06","Mixed Packaging (15 01 06)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,0,95.72,0,0
2023,"KOROŠKA","15 01 06","Mixed Packaging (15 01 06)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)",NA,0,46.48,0,0,0,0
2023,"KOROŠKA","15 01 06","Mixed Packaging (15 01 06)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",NA,0,138.522,0,0,0,0
2023,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,778.3,0,0,0
2023,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,0,16.498,0,0
2023,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",NA,0,414,0,0,0,0
2023,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_01",0,0,1683.28,0,0,0
2023,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_08,09",0,0,755.667,0,0,0
