"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2021,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",6.88,0,6.88,0,0,6.88,0,0
2021,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",454.465,24.86,429.605,18.08,0.13,464.905,0,0
2021,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",79.569,0,79.569,0,0,79.569,0,0
2021,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",77.06,0,77.06,0,0,77.06,0,0
2021,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",462.26,0,462.26,0,450,12.26,0,0
2021,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1729.062,156.726,1572.336,0.5,0,1715.782,0,0
2021,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",545.475,0.4,545.075,0,0,545.475,0,0
2021,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",9.09,0,9.09,0,0,9.09,0,0
2021,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",18.864,0,18.864,0,0,18.864,0,0
2021,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",34.68,34.68,0,0,0,34.68,0,0
2021,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",87.934,0.101,87.833,0.101,0.29,87.543,0,0
2021,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",46.2,0,46.2,0,0,46.2,0,0
2021,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",239.86,5.72,234.14,0,0,233.6,0,0
2021,"NEOPREDELJENO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",56.279,0,56.279,0,0,56.279,0,0
2021,"NEOPREDELJENO","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7.01,0,7.01,0,0,7.01,0,0
2021,"NEOPREDELJENO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",14.746,0.22,14.526,0.3,0,14.446,0,0
2021,"NEOPREDELJENO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",7.084,0,7.084,0,0,7.084,0,0
2021,"NEOPREDELJENO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",13.66,0,13.66,0,0,13.66,0,0
2021,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",99.7,0,99.7,0,0,99.7,0,0
2021,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1925.269,39.429,1885.84,5.495,0,1907.35,0,0
2021,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2004.725,0.15,2004.575,1.73,0,1988.605,13.5,0
2021,"OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",67.942,0,67.942,0,0,67.942,0,0
2021,"OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",7.56,0,7.56,0,0,0,0,0
2021,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",311.391,3.059,308.332,0.039,0.11,132.967,0,0
2021,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.245,0,35.245,0,0,35.245,0,0
2021,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",75.604,0,75.604,0,0,75.604,0,0
2021,"OSREDNJESLOVENSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",1.62,0,1.62,0,0,1.62,0,0
2021,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",601.62,0,601.62,0,0,601.62,0,0
2021,"OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.946,0,1.946,0,0,1.946,0,0
2021,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",22160.619,52.595,22108.024,13.451,78.341,21704.747,272.495,0
2021,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5186,8.303,5177.697,11.259,27.368,5108.397,0,0
2021,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",660.541,0,660.541,0,0.065,653.576,0,0
2021,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2858.655,2.868,2855.787,0.015,0,2855.787,0,0
2021,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",2.79,0,2.79,0,0,2.79,0,0
2021,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",27038.421,100.607,26937.814,11.924,0.411,26723.788,290.56,0
2021,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",278.067,0,278.067,0,0,275.147,0,0
2021,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",689.277,2.121,687.156,1.781,0,685.236,0,0
2021,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",39.88,0,39.88,0,0,39.88,0,0
2021,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8289.364,16.063,8273.301,1.04,0.94,7938.744,322.78,0
2021,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2768.993,1.5,2767.493,1,7.09,2747.903,0,0
2021,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",102.64,0,102.64,0,0,100.91,0,0
2021,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",22.982,0,22.982,0,0,22.982,0,0
2021,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",9228.647,1.414,9227.233,0.757,1.395,3139.053,6080.93,0
2021,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",721.127,0.16,720.967,0,0,721.127,0,0
2021,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1030.0905500000001,4.94,1025.15055,0.832,0,1022.9905500000001,0,0
2021,"POMURSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",0.148,0,0.148,0,0,0.148,0,0
2021,"POMURSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2271.27,0.05,2271.22,0,0,2271.27,0,0
2021,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2535.629,41.677,2493.952,2.392,0,2500.923,0,0
2021,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",735.23,3.92,731.31,3.75,0,694.494,0,0
2021,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",163.42,0,163.42,0,0,163.42,0,0
2021,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.171,0,2.171,0,2.171,0,0,0
2021,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",113.9,0.5,113.4,0.66,0.06,110.74,0,0
2021,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.18,0.7,4.48,0,0,5.18,0,0
2021,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",74.175,0,74.175,0,0,74.175,0,0
2021,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",110.922,0,110.922,0,0,110.922,0,0
2021,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",5193.241,584.055,4609.186,545.64,4647.601,0,0,0
2021,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1063.619,1.593,1062.026,1.405,11.04,1047.754,0,0
2021,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",291.665,1.695,289.97,29,1.695,260.97,0,0
2021,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",5.16,0,5.16,0,0,5.16,0,0
2021,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",854.039,0.185,853.854,4.485,14.714,834.84,0,0
2021,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",550.25,0.21,550.04,0.21,0,550.04,0,0
2021,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",111.61,0,111.61,0,1.2,110.41,0,0
2021,"PRIMORSKO-NOTRANJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",38.22,8.28,29.94,6.5,0,38.22,0,0
2021,"PRIMORSKO-NOTRANJSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",14.033,0,14.033,0,0,14.033,0,0
2021,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1315.147,4.876,1310.271,4.886,0,1289.656,0,0
2021,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",348.176,0.15,348.026,0,0,348.176,0,0
2021,"PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",85.12,0,85.12,0,0,85.12,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",746.444,0.23,746.214,0.23,0,310.514,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",13.228,0,13.228,0,0,13.228,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",104.292,1.14,103.152,0.9,0,104.142,0,0
2021,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",22.82,0,22.82,0,0,22.82,0,0
2021,"SAVINJSKA","03 01 99","Other Unspecified Wood Waste (03 01 99)","Wood/Paper Production Waste",1336.54,0,1336.54,0,0,1336.54,0,0
2021,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17642.866,30.957,17611.909,6.647,0,17639.579,0,0
2021,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",6404.186,3.565,6400.621,3.2,0,6407.071,0,0
2021,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",498.44,0,498.44,0,0,498.44,0,0
2021,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0.24,0,0.24,0,0,0.24,0,0
2021,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",888.593,53.067,835.526,0.16,0.66,867.633,13.9,0
2021,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",79.53,1.12,78.41,0.95,0,78.58,0,0
2021,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",111.569,5.96,105.609,0,0,111.569,0,0
2021,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",723.404,1.45,721.954,2.25,0,721.044,0,0
2021,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",402.79,1.12,401.67,2.11,0,400.68,0,0
2021,"ZASAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",2.24,0,2.24,0,0,2.24,0,0
2021,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",747.696,12.28,735.416,10,0,110.321,0,0
2021,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.59,0,5.59,0,0,5.59,0,0
2021,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",16.13,0,16.13,0,0,16.13,0,0
