"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU"
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 11",NA,"Construction/Demolition Waste",10.275,0.634,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 09 04","Gypsum-Based Building Materials (17 09 04)","Construction/Demolition Waste",0,6.42,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 02 04*","Mixed Waste Containing Hazardous Substances (19 02 04*)","Waste Treatment Residues",0,0,2086.23,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 02 05*",NA,"Waste Treatment Residues",3.457,484.597,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 02 08*",NA,"Waste Treatment Residues",13.92,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 02 11*",NA,"Waste Treatment Residues",0,2.79,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 08 01",NA,"Waste Treatment Residues",44.438,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 08 02","Citotoxic and Cytostatic Medicinal Wastes (19 08 02)","Waste Treatment Residues",0,121.44,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 08 05","Chemicals Requiring Infectious Hazard Precautions (19 08 05)","Waste Treatment Residues",2805.49,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 10 01","Ferrous Metal Waste from Shredding (19 10 01)","Waste Treatment Residues",0,10492.25,25413.82,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 10 04",NA,"Waste Treatment Residues",0,0,2135,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 10 06","Other Fractions from Shredding (19 10 06)","Waste Treatment Residues",0,0,5284.66,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,783.64,1337.571,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues",0,25514.056,14059.16,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 03","Non-Ferrous Metals from Mechanical Treatment (19 12 03)","Waste Treatment Residues",2.11,83.051,998.963,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 04","Plastics and Rubber from Mechanical Treatment (19 12 04)","Waste Treatment Residues",50.09,402.24,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 05","Glass from Mechanical Treatment (19 12 05)","Waste Treatment Residues",164.82,0,1473.3,0
2020,"GORENJSKA",NA,NA,"Other Waste","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues",2969.961,5183.235,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",207.01,3309.069,432.09,0
2020,"GORENJSKA",NA,NA,"Other Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,634.102,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","20 01 39","Plastics from Municipal Waste (20 01 39)","Municipal Waste",0,15.28,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste",0,12.706,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","08 03 18",NA,"Surface Treatment Waste",2.163,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","09 01 01*",NA,"Photographic Industry Waste",3.839,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","09 01 04*",NA,"Photographic Industry Waste",3.571,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","09 01 07","Silver-Containing Photographic Films and Paper (09 01 07)","Photographic Industry Waste",0,13.146,56.415,0
2020,"GORIŠKA",NA,NA,"Other Waste","10 08 11",NA,"Thermal Process Waste",0,0.339,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","11 05 01",NA,"Other Waste",0,0,31.019,0
2020,"GORIŠKA",NA,NA,"Other Waste","11 05 02",NA,"Other Waste",0,0,67,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 01",NA,"Metal/Plastic Processing Waste",0,1024.182,890.301,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste",0,2589.6,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","Metal/Plastic Processing Waste",0,118.796,250.075,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","Metal/Plastic Processing Waste",25.591,122.153,37.605,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 05",NA,"Metal/Plastic Processing Waste",0,0,17.717,25.44
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 15",NA,"Metal/Plastic Processing Waste",6,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 17",NA,"Metal/Plastic Processing Waste",0,45.14,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","12 01 99",NA,"Metal/Plastic Processing Waste",0,0.001,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","13 02 05*",NA,"Other Waste",8.75,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","14 06 01*",NA,"Solvent/Refrigerant Waste",0.196,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,559.42,3.7,0
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste",0,177.487,1890.719,342.56
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",55.42,646.183,87.55,0
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 04","Metal Packaging (15 01 04)","Packaging Waste",19.513,28.14,5292.698,23.04
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste",0,369.24,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","15 01 07","Glass Packaging (15 01 07)","Packaging Waste",165.41,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","15 02 02*",NA,"Packaging Waste",0.027,0,1.129,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 03","End-of-Life Tyres (16 01 03)","Miscellaneous Waste",43.5,18.74,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 06",NA,"Miscellaneous Waste",0,1291.489,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 14*",NA,"Miscellaneous Waste",1.649,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 17",NA,"Miscellaneous Waste",0,250.029,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 18","Non-ferrous Metals (16 01 18)","Miscellaneous Waste",5.988,15.033,46.105,22.512
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 19",NA,"Miscellaneous Waste",0,6.137,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 01 20",NA,"Miscellaneous Waste",0,8.27,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 02 14","Discarded Equipment Not Otherwise Specified (16 02 14)","Miscellaneous Waste",0,119.361,173.64,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 02 15*",NA,"Miscellaneous Waste",6.588,0,26.619,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 02 16","Components Removed from Discarded Equipment (16 02 16)","Miscellaneous Waste",0,290.318,569.522,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 03 04","Non-Hazardous Inorganic Wastes (16 03 04)","Miscellaneous Waste",0,38.843,2.059,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 06 01*","Lead-Acid Batteries (16 06 01*)","Miscellaneous Waste",49.557,5.606,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 06 05",NA,"Miscellaneous Waste",0,0,7.255,0
2020,"GORIŠKA",NA,NA,"Other Waste","16 08 01",NA,"Miscellaneous Waste",0,2.5,9.645,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 01 07","Non-Hazardous Concrete/Brick/Ceramic Mixtures (17 01 07)","Construction/Demolition Waste",2805.76,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 02 02",NA,"Construction/Demolition Waste",0,0,70.18,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 03 02","Non-Hazardous Bituminous Mixtures (17 03 02)","Construction/Demolition Waste",3834.22,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 01",NA,"Construction/Demolition Waste",0,8.941,768.897,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 02",NA,"Construction/Demolition Waste",0,15.433,969.427,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 03",NA,"Construction/Demolition Waste",0,54.41,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 04",NA,"Construction/Demolition Waste",0,0,7.773,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 05","Iron and Steel Waste (17 04 05)","Construction/Demolition Waste",0,0,1537.682,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 04 11",NA,"Construction/Demolition Waste",0,0,59.114,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 05 04","Gypsum-Based Waste (17 05 04)","Construction/Demolition Waste",8890.29,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 08 02","Gypsum-Based Construction Materials (17 08 02)","Construction/Demolition Waste",55.97,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","17 09 04","Gypsum-Based Building Materials (17 09 04)","Construction/Demolition Waste",5.96,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","19 08 02","Citotoxic and Cytostatic Medicinal Wastes (19 08 02)","Waste Treatment Residues",97.621,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","19 10 01","Ferrous Metal Waste from Shredding (19 10 01)","Waste Treatment Residues",115.103,13.823,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,84.603,189.02,0
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues",823.005,5227.691,4193.819,136.98
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 03","Non-Ferrous Metals from Mechanical Treatment (19 12 03)","Waste Treatment Residues",128.479,202.631,829.233,56.591
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 04","Plastics and Rubber from Mechanical Treatment (19 12 04)","Waste Treatment Residues",7.16,1021.525,2152.705,194.496
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 05","Glass from Mechanical Treatment (19 12 05)","Waste Treatment Residues",113.88,9.422,502.81,0
2020,"GORIŠKA",NA,NA,"Other Waste","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues",16.16,363.738,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.3,388.825,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 21*","Mercury-Containing Waste (20 01 21*)","Municipal Waste",16.258,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 23*","Discarded Equipment Containing CFCs (20 01 23*)","Municipal Waste",6.43,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 33*","Batteries and accumulators listed under 16 06 01, 16 06 02 or 16 06 03 and unsorted batteries and accumulators containing these batteries and accumulators (20 01 33*)","Municipal Waste",8.464,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 35*","Hazardous Waste Electrical Equipment (20 01 35*)","Municipal Waste",7.187,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 36","Non-Hazardous Waste Electrical Equipment (20 01 36)","Municipal Waste",44.937,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste",0.2,53.41,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 02 01","Biodegradable Garden and Park Waste (20 02 01)","Municipal Waste",0,162.833,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 02 02",NA,"Municipal Waste",1616.93,0,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 03 01","Mixed Municipal Waste (20 03 01)","Municipal Waste",0,137.656,0,0
2020,"GORIŠKA",NA,NA,"Other Waste","20 03 03",NA,"Municipal Waste",59.67,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",17.6,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",83.51,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste",1.5,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","16 01 03","End-of-Life Tyres (16 01 03)","Miscellaneous Waste",44.97,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.88,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 02","Glass from Municipal Waste (20 01 02)","Municipal Waste",21.91,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 23*","Discarded Equipment Containing CFCs (20 01 23*)","Municipal Waste",8.41,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 35*","Hazardous Waste Electrical Equipment (20 01 35*)","Municipal Waste",3.87,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 36","Non-Hazardous Waste Electrical Equipment (20 01 36)","Municipal Waste",34.57,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,160.28,0,0
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste",0.44,24.302,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3869.78,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","03 03 07","Mechanically Separated Rejects from Pulping (03 03 07)","Wood/Paper Production Waste",0,44.387,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","03 03 99","Other Unspecified Paper Waste (03 03 99)","Wood/Paper Production Waste",0,94.7,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","07 02 13","Waste Plastics (07 02 13)","Organic Chemical Waste",38.09,8.36,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","12 01 01",NA,"Metal/Plastic Processing Waste",0,0,2262.38,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste",0.51,5195.765,72.89,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","Metal/Plastic Processing Waste",0,14.86,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","12 01 05",NA,"Metal/Plastic Processing Waste",0,73.85,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","13 02 05*",NA,"Other Waste",1.64,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,539.05,4440.024,46.18
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste",0,1477.956,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",120.41,2168.869,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 04","Metal Packaging (15 01 04)","Packaging Waste",0,221.38,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 05","Composite Packaging (15 01 05)","Packaging Waste",0,0,117.94,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste",0,632.7,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","15 01 07","Glass Packaging (15 01 07)","Packaging Waste",167.352,749.941,244.3,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 03","End-of-Life Tyres (16 01 03)","Miscellaneous Waste",12,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 04*","End-of-Life Vehicles (16 01 04*)","Miscellaneous Waste",250.164,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 06",NA,"Miscellaneous Waste",0,954.634,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 14*",NA,"Miscellaneous Waste",1.92,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 17",NA,"Miscellaneous Waste",0,33.75,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 18","Non-ferrous Metals (16 01 18)","Miscellaneous Waste",0,9.947,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 19",NA,"Miscellaneous Waste",0,119.88,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 01 20",NA,"Miscellaneous Waste",0,5.42,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","16 06 01*","Lead-Acid Batteries (16 06 01*)","Miscellaneous Waste",2.67,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 01 07","Non-Hazardous Concrete/Brick/Ceramic Mixtures (17 01 07)","Construction/Demolition Waste",3.46,4.32,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,10.44,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 04 01",NA,"Construction/Demolition Waste",10.701,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 04 02",NA,"Construction/Demolition Waste",42.84,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 04 03",NA,"Construction/Demolition Waste",0,3.508,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 04 05","Iron and Steel Waste (17 04 05)","Construction/Demolition Waste",0,162.04,605.22,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 05 04","Gypsum-Based Waste (17 05 04)","Construction/Demolition Waste",988.44,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 05 06","Other Insulation Materials (17 05 06)","Construction/Demolition Waste",16.78,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","17 09 04","Gypsum-Based Building Materials (17 09 04)","Construction/Demolition Waste",157.4,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 05 03","Compost Not Meeting Specifications (19 05 03)","Waste Treatment Residues",0,74.32,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,1640.264,3244.421,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 02","Ferrous Metals from Mechanical Treatment (19 12 02)","Waste Treatment Residues",39.85,40808.672,6718.013,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 03","Non-Ferrous Metals from Mechanical Treatment (19 12 03)","Waste Treatment Residues",65.401,865.011,66.349,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 04","Plastics and Rubber from Mechanical Treatment (19 12 04)","Waste Treatment Residues",37.86,7863.401,66.14,6.51
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 05","Glass from Mechanical Treatment (19 12 05)","Waste Treatment Residues",77.58,0,1504.06,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",528.74,0,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues",86.611,1770.54,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,383.212,600.75,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","20 01 02","Glass from Municipal Waste (20 01 02)","Municipal Waste",0,553.977,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","20 03 01","Mixed Municipal Waste (20 03 01)","Municipal Waste",0,14668.9,0,0
2020,"JUGOVZHODNA SLOVENIJA",NA,NA,"Other Waste","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,617.3,0,0
2020,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste",0,6.7,0,0
2020,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,1132.16,0,0
2020,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","20 01 40","Metals from Municipal Waste (20 01 40)","Municipal Waste",88.4,0,0,0
2020,"KOROŠKA",NA,NA,"Other Waste","12 01 01",NA,"Metal/Plastic Processing Waste",34.16,9.045,3455.55,0
2020,"KOROŠKA",NA,NA,"Other Waste","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste",772.294,0,0,0
2020,"KOROŠKA",NA,NA,"Other Waste","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","Metal/Plastic Processing Waste",0,0.092,0,0
2020,"KOROŠKA",NA,NA,"Other Waste","13 02 05*",NA,"Other Waste",1.43,7.82,0,0
2020,"KOROŠKA",NA,NA,"Other Waste","13 05 02*",NA,"Other Waste",0,100.54,0,0
