"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","delivered_to_collector","delivered_to_processing_operator","delivered_to_other_eu_country"
2018,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",175.49,56.08,119.41,0
2018,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2465.53,0,2239.75,225.78
2018,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",8.352,0,8.352,0
2018,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",75012.83,6125.548,67988.112,899.17
2018,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",17068.29,122.08,16946.21,0
2018,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",11602.58,8.32,11594.26,0
2018,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",15.23,0,15.23,0
2018,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2484.012,164.585,2063.608,255.819
2018,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",966.867,93.92,872.947,0
2018,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",125,0.54,124.46,0
2018,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",126.848,0,119.048,7.8
2018,"PODRAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1.24,0,0,1.24
2018,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8183.283,1700.517,6482.766,0
2018,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",7448.349,102.237,7346.112,0
2018,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9506.34,0,9506.34,0
2018,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",644.694,18.142,626.552,0
2018,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",50.567,0,50.567,0
2018,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",60.68,0,60.68,0
2018,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",438.451,0,438.451,0
2018,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2424.195,197.418,2226.777,0
2018,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",519.97,0,519.97,0
2018,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3218.148,0,3218.148,0
2018,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",310.7,310.7,0,0
2018,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.508,0,1.508,0
2018,"POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2.56,0,2.56,0
2018,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1431.519,105.566,1325.953,0
2018,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",348.438,0,348.438,0
2018,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",40.791,0,40.791,0
2018,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1413.168,223.182,1107.791,82.195
2018,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1004.119,170.75,833.369,0
2018,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",404.945,0,404.945,0
2018,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",321.43,52.75,268.68,0
2018,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.87,0,1.87,0
2018,"PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",5,5,0,0
2018,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",929.143,311.23,617.913,0
2018,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",800.17,526,274.17,0
2018,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1781.16,0,1781.16,0
2018,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",78.22,11.5,66.72,0
2018,"SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",171.06,0,171.06,0
2018,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1338.224,194.761,1143.463,0
2018,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",195.699,0,195.699,0
2018,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",256.98,0,256.98,0
2018,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",960.88,0,960.88,0
2018,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6784.92,30.28,6754.64,0
2018,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2049.029,0,2049.029,0
2018,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8827.67,0,8827.67,0
2018,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",910.435,102.37,808.065,0
2018,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",271.45,0,271.45,0
2018,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",683.235,114.077,569.158,0
2018,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",758.408,665.06,93.348,0
2018,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",518.82,0,518.82,0
