"year","statistical_region","type_of_waste","total_waste_given_away","management"
2016,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",201.656,"own processing (OVD for processing own waste)"
2016,"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",3582.195,"given to another collector in RS"
2016,"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",308.28,"own processing (OVD for processing own waste)"
2016,"OSREDNJESLOVENSKA","Wood",811.343,"given to another collector in RS"
2016,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",338.973,"given to another collector in RS"
2016,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",38.652,"own processing (OVD for processing own waste)"
2016,"OSREDNJESLOVENSKA","Wooden packaging",5845.367,"given to another collector in RS"
2016,"OSREDNJESLOVENSKA","Wooden packaging",743.454,"own processing (OVD for processing own waste)"
2016,"GORENJSKA","Paper/Cardboard Packaging",4236.677,"given to another collector in RS"
2016,"GORENJSKA","Paper/Cardboard Packaging",0.068,"own processing (OVD for processing own waste)"
2016,"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",654.42,"given to another collector in RS"
2016,"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",2324.965,"own processing (OVD for processing own waste)"
2016,"GORENJSKA","Waste Bark and Cork",886,"own processing (OVD for processing own waste)"
2016,"GORENJSKA","Wood",263.571,"given to another collector in RS"
2016,"GORENJSKA","Wood, not specified in 20 01 37",122.27,"given to another collector in RS"
2016,"GORENJSKA","Wooden packaging",1823.595,"given to another collector in RS"
2016,"GORENJSKA","Wooden packaging",3.77,"own processing (OVD for processing own waste)"
2016,"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",1311.535,"given to another collector in RS"
2016,"PRIMORSKO-NOTRANJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1410.2,"given to another collector in RS"
2016,"PRIMORSKO-NOTRANJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",25965.2,"own processing (OVD for processing own waste)"
2016,"PRIMORSKO-NOTRANJSKA","Wood",18.58,"given to another collector in RS"
2016,"PRIMORSKO-NOTRANJSKA","Wood, not specified in 20 01 37",337.66,"given to another collector in RS"
2016,"PRIMORSKO-NOTRANJSKA","Wooden packaging",839.834,"given to another collector in RS"
2016,"GORIŠKA","Paper/Cardboard Packaging",3339.095,"given to another collector in RS"
2016,"GORIŠKA","Paper/Cardboard Packaging",3.61,"own processing (OVD for processing own waste)"
2016,"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",868.46,"given to another collector in RS"
2016,"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",143,"own processing (OVD for processing own waste)"
2016,"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1036.72,"sent to another EU country"
2016,"GORIŠKA","Wood",50.081,"given to another collector in RS"
2016,"GORIŠKA","Wood, not specified in 20 01 37",59.27,"given to another collector in RS"
2016,"GORIŠKA","Wooden packaging",885.271,"given to another collector in RS"
2016,"OBALNO-KRAŠKA","Paper/Cardboard Packaging",2681.79,"given to another collector in RS"
2016,"OBALNO-KRAŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1861.8,"given to another collector in RS"
2016,"OBALNO-KRAŠKA","Wood",30.68,"given to another collector in RS"
2016,"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",1619.343,"given to another collector in RS"
2016,"OBALNO-KRAŠKA","Wooden packaging",941.593,"given to another collector in RS"
