year,statistical_region,name_of_municipality,type_of_waste,total_waste_collected
2018,PODRAVSKA,PTUJ,Non-hazardous Wood from Municipal Waste (20 01 38),657.586
2018,PODRAVSKA,PTUJ,Paper and Cardboard Packaging (15 01 01),653.961
2018,PODRAVSKA,PTUJ,Paper and Cardboard from Municipal Waste (20 01 01),1515.664
2018,PODRAVSKA,SLOVENSKA BISTRICA,Bulky Municipal Waste (20 03 07),14.17
2018,PODRAVSKA,SLOVENSKA BISTRICA,Non-hazardous Wood from Municipal Waste (20 01 38),1426.66
2018,PODRAVSKA,SLOVENSKA BISTRICA,Paper and Cardboard Packaging (15 01 01),358.77
2018,PODRAVSKA,SLOVENSKA BISTRICA,Paper and Cardboard from Municipal Waste (20 01 01),537.96
2018,POMURSKA,LENDAVA,Bulky Municipal Waste (20 03 07),183.78
2018,POMURSKA,LENDAVA,Non-hazardous Wood from Municipal Waste (20 01 38),2.6
2018,POMURSKA,LENDAVA,Paper and Cardboard Packaging (15 01 01),69.902
2018,POMURSKA,LENDAVA,Paper and Cardboard from Municipal Waste (20 01 01),165.738
2018,POMURSKA,LJUTOMER,Bulky Municipal Waste (20 03 07),1281.96
2018,POMURSKA,LJUTOMER,Non-hazardous Wood from Municipal Waste (20 01 38),30.22
2018,POMURSKA,LJUTOMER,Paper and Cardboard Packaging (15 01 01),111.02
2018,POMURSKA,LJUTOMER,Paper and Cardboard from Municipal Waste (20 01 01),197.777
2018,POMURSKA,MURSKA SOBOTA,Bulky Municipal Waste (20 03 07),4048.636
2018,POMURSKA,MURSKA SOBOTA,Non-hazardous Wood from Municipal Waste (20 01 38),773.003
2018,POMURSKA,MURSKA SOBOTA,Paper and Cardboard Packaging (15 01 01),836.9590000000001
2018,POMURSKA,MURSKA SOBOTA,Paper and Cardboard from Municipal Waste (20 01 01),2445.777
2018,POMURSKA,MURSKA SOBOTA,Wooden Packaging (15 01 03),863.884
2018,POMURSKA,PUCONCI,Bulky Municipal Waste (20 03 07),158.848
2018,POMURSKA,PUCONCI,Non-hazardous Wood from Municipal Waste (20 01 38),4.72
2018,POMURSKA,PUCONCI,Paper and Cardboard Packaging (15 01 01),28.96
2018,POMURSKA,PUCONCI,Paper and Cardboard from Municipal Waste (20 01 01),31.62
2018,POMURSKA,VELIKA POLANA,Bulky Municipal Waste (20 03 07),14.88
2018,POMURSKA,VELIKA POLANA,Non-hazardous Wood from Municipal Waste (20 01 38),3.02
2018,POMURSKA,VELIKA POLANA,Paper and Cardboard from Municipal Waste (20 01 01),6.86
2018,POSAVSKA,BREŽICE,Paper and Cardboard Packaging (15 01 01),142.996
2018,POSAVSKA,BREŽICE,Paper and Cardboard from Municipal Waste (20 01 01),205.784
2018,POSAVSKA,KRŠKO,Bulky Municipal Waste (20 03 07),226.265
2018,POSAVSKA,KRŠKO,Non-hazardous Wood from Municipal Waste (20 01 38),699.46
2018,POSAVSKA,KRŠKO,Paper and Cardboard Packaging (15 01 01),526.6
2018,POSAVSKA,KRŠKO,Paper and Cardboard from Municipal Waste (20 01 01),133.3
2018,POSAVSKA,KRŠKO,Wooden Packaging (15 01 03),137.48
2018,POSAVSKA,RADEČE,Bulky Municipal Waste (20 03 07),64.62
2018,POSAVSKA,RADEČE,Non-hazardous Wood from Municipal Waste (20 01 38),62.8
2018,POSAVSKA,RADEČE,Paper and Cardboard Packaging (15 01 01),29.45
2018,POSAVSKA,RADEČE,Paper and Cardboard from Municipal Waste (20 01 01),34.69
2018,POSAVSKA,SEVNICA,Bulky Municipal Waste (20 03 07),111.7
2018,POSAVSKA,SEVNICA,Non-hazardous Wood from Municipal Waste (20 01 38),236.33
2018,POSAVSKA,SEVNICA,Paper and Cardboard Packaging (15 01 01),117.43
2018,POSAVSKA,SEVNICA,Paper and Cardboard from Municipal Waste (20 01 01),242.54
2018,POSAVSKA,SEVNICA,Wooden Packaging (15 01 03),5.86
2018,PRIMORSKO-NOTRANJSKA,CERKNICA,Bulky Municipal Waste (20 03 07),207.62
2018,PRIMORSKO-NOTRANJSKA,CERKNICA,Non-hazardous Wood from Municipal Waste (20 01 38),386.77
2018,PRIMORSKO-NOTRANJSKA,CERKNICA,Paper and Cardboard Packaging (15 01 01),71.405
2018,PRIMORSKO-NOTRANJSKA,CERKNICA,Paper and Cardboard from Municipal Waste (20 01 01),257.049
2018,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Bulky Municipal Waste (20 03 07),669
2018,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Non-hazardous Wood from Municipal Waste (20 01 38),207.22
2018,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Paper and Cardboard Packaging (15 01 01),116.44
2018,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Paper and Cardboard from Municipal Waste (20 01 01),160.044
2018,PRIMORSKO-NOTRANJSKA,NOVA VAS,Bulky Municipal Waste (20 03 07),1.12
2018,PRIMORSKO-NOTRANJSKA,NOVA VAS,Paper and Cardboard Packaging (15 01 01),9.005
2018,SAVINJSKA,CELJE,Bulky Municipal Waste (20 03 07),6784.81
2018,SAVINJSKA,CELJE,Non-hazardous Wood from Municipal Waste (20 01 38),673.469
2018,SAVINJSKA,CELJE,Paper and Cardboard Packaging (15 01 01),501.02
2018,SAVINJSKA,CELJE,Paper and Cardboard from Municipal Waste (20 01 01),3072.97
2018,SAVINJSKA,LAŠKO,Bulky Municipal Waste (20 03 07),339.98
2018,SAVINJSKA,LAŠKO,Paper and Cardboard Packaging (15 01 01),139.078
2018,SAVINJSKA,MOZIRJE,Bulky Municipal Waste (20 03 07),199.86
2018,SAVINJSKA,MOZIRJE,Paper and Cardboard Packaging (15 01 01),27.776
2018,SAVINJSKA,MOZIRJE,Paper and Cardboard from Municipal Waste (20 01 01),64.128
2018,SAVINJSKA,ROGAŠKA SLATINA,Bulky Municipal Waste (20 03 07),649.36
2018,SAVINJSKA,ROGAŠKA SLATINA,Non-hazardous Wood from Municipal Waste (20 01 38),52.3
2018,SAVINJSKA,ROGAŠKA SLATINA,Paper and Cardboard Packaging (15 01 01),164.397
2018,SAVINJSKA,ROGAŠKA SLATINA,Paper and Cardboard from Municipal Waste (20 01 01),249.483
2018,SAVINJSKA,ROGAŠKA SLATINA,Wooden Packaging (15 01 03),0.12
2018,SAVINJSKA,SLOVENSKE KONJICE,Bulky Municipal Waste (20 03 07),203.06
2018,SAVINJSKA,SLOVENSKE KONJICE,Non-hazardous Wood from Municipal Waste (20 01 38),210.58
2018,SAVINJSKA,SLOVENSKE KONJICE,Paper and Cardboard Packaging (15 01 01),147.9
2018,SAVINJSKA,SLOVENSKE KONJICE,Paper and Cardboard from Municipal Waste (20 01 01),267.12
2018,SAVINJSKA,VELENJE,Bulky Municipal Waste (20 03 07),637.39
2018,SAVINJSKA,VELENJE,Non-hazardous Wood from Municipal Waste (20 01 38),1296.498
2018,SAVINJSKA,VELENJE,Paper and Cardboard Packaging (15 01 01),274.765
2018,SAVINJSKA,VELENJE,Paper and Cardboard from Municipal Waste (20 01 01),889.02
2018,ZASAVSKA,HRASTNIK,Bulky Municipal Waste (20 03 07),241.58
2018,ZASAVSKA,HRASTNIK,Paper and Cardboard Packaging (15 01 01),39.38
2018,ZASAVSKA,HRASTNIK,Paper and Cardboard from Municipal Waste (20 01 01),54.15
2018,ZASAVSKA,LITIJA,Bulky Municipal Waste (20 03 07),550.23
2018,ZASAVSKA,LITIJA,Non-hazardous Wood from Municipal Waste (20 01 38),258.5
2018,ZASAVSKA,LITIJA,Paper and Cardboard Packaging (15 01 01),140.774
2018,ZASAVSKA,LITIJA,Paper and Cardboard from Municipal Waste (20 01 01),145.13
2018,ZASAVSKA,TRBOVLJE,Bulky Municipal Waste (20 03 07),165.54
2018,ZASAVSKA,TRBOVLJE,Non-hazardous Wood from Municipal Waste (20 01 38),442.84
2018,ZASAVSKA,TRBOVLJE,Paper and Cardboard Packaging (15 01 01),103.28
2018,ZASAVSKA,TRBOVLJE,Paper and Cardboard from Municipal Waste (20 01 01),54.86
2018,ZASAVSKA,TRBOVLJE,Wooden Packaging (15 01 03),0.38
2018,ZASAVSKA,ZAGORJE OB SAVI,Bulky Municipal Waste (20 03 07),111.7
2018,ZASAVSKA,ZAGORJE OB SAVI,Non-hazardous Wood from Municipal Waste (20 01 38),303.38
2018,ZASAVSKA,ZAGORJE OB SAVI,Paper and Cardboard Packaging (15 01 01),84.02
2018,ZASAVSKA,ZAGORJE OB SAVI,Paper and Cardboard from Municipal Waste (20 01 01),173.847
2019,GORENJSKA,BLED,Bulky Municipal Waste (20 03 07),245.09
2019,GORENJSKA,BLED,Non-hazardous Wood from Municipal Waste (20 01 38),540.58
2019,GORENJSKA,BLED,Paper and Cardboard Packaging (15 01 01),127.947
2019,GORENJSKA,BLED,Paper and Cardboard from Municipal Waste (20 01 01),258.87
2019,GORENJSKA,BOHINJSKA BISTRICA,Bulky Municipal Waste (20 03 07),292.9
2019,GORENJSKA,BOHINJSKA BISTRICA,Paper and Cardboard Packaging (15 01 01),50
2019,GORENJSKA,BOHINJSKA BISTRICA,Paper and Cardboard from Municipal Waste (20 01 01),93.797
2019,GORENJSKA,GORENJA VAS,Bulky Municipal Waste (20 03 07),143.94
2019,GORENJSKA,GORENJA VAS,Non-hazardous Wood from Municipal Waste (20 01 38),78.58
2019,GORENJSKA,GORENJA VAS,Paper and Cardboard Packaging (15 01 01),32.814
2019,GORENJSKA,GORENJA VAS,Paper and Cardboard from Municipal Waste (20 01 01),88.44
2019,GORENJSKA,GOZD MARTULJEK,Bulky Municipal Waste (20 03 07),293.54
2019,GORENJSKA,GOZD MARTULJEK,Non-hazardous Wood from Municipal Waste (20 01 38),9.34
2019,GORENJSKA,GOZD MARTULJEK,Paper and Cardboard Packaging (15 01 01),121.205
2019,GORENJSKA,GOZD MARTULJEK,Paper and Cardboard from Municipal Waste (20 01 01),54.662
2019,GORENJSKA,GOZD MARTULJEK,Wooden Packaging (15 01 03),84.19
2019,GORENJSKA,JESENICE,Bulky Municipal Waste (20 03 07),1401.16
2019,GORENJSKA,JESENICE,Non-hazardous Wood from Municipal Waste (20 01 38),474.61
2019,GORENJSKA,JESENICE,Paper and Cardboard Packaging (15 01 01),114.25
2019,GORENJSKA,JESENICE,Paper and Cardboard from Municipal Waste (20 01 01),383.467
2019,GORENJSKA,JESENICE,Wooden Packaging (15 01 03),23.32
2019,GORENJSKA,KRANJ,Bulky Municipal Waste (20 03 07),825.947
2019,GORENJSKA,KRANJ,Non-hazardous Wood from Municipal Waste (20 01 38),1233.19
2019,GORENJSKA,KRANJ,Paper and Cardboard Packaging (15 01 01),683.354
2019,GORENJSKA,KRANJ,Paper and Cardboard from Municipal Waste (20 01 01),662.871
2019,GORENJSKA,KRANJ,Wooden Packaging (15 01 03),30.229
2019,GORENJSKA,RADOVLJICA,Bulky Municipal Waste (20 03 07),640.86
2019,GORENJSKA,RADOVLJICA,Non-hazardous Wood from Municipal Waste (20 01 38),569.03
2019,GORENJSKA,RADOVLJICA,Paper and Cardboard Packaging (15 01 01),160.21
2019,GORENJSKA,RADOVLJICA,Paper and Cardboard from Municipal Waste (20 01 01),412.064
2019,GORENJSKA,TRŽIČ,Bulky Municipal Waste (20 03 07),494.14
2019,GORENJSKA,TRŽIČ,Non-hazardous Wood from Municipal Waste (20 01 38),225.9
2019,GORENJSKA,TRŽIČ,Paper and Cardboard Packaging (15 01 01),121.78
2019,GORENJSKA,TRŽIČ,Paper and Cardboard from Municipal Waste (20 01 01),97.442
2019,GORENJSKA,ŠKOFJA LOKA,Bulky Municipal Waste (20 03 07),430.86
2019,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard Packaging (15 01 01),359.42
2019,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard from Municipal Waste (20 01 01),447.779
2019,GORENJSKA,ŠKOFJA LOKA,Wooden Packaging (15 01 03),281.91
2019,GORENJSKA,ŽIRI,Bulky Municipal Waste (20 03 07),156.46
2019,GORENJSKA,ŽIRI,Non-hazardous Wood from Municipal Waste (20 01 38),101.66
2019,GORENJSKA,ŽIRI,Paper and Cardboard Packaging (15 01 01),29.394
2019,GORENJSKA,ŽIRI,Paper and Cardboard from Municipal Waste (20 01 01),103.59
2019,GORIŠKA,AJDOVŠČINA,Bulky Municipal Waste (20 03 07),344.669
2019,GORIŠKA,AJDOVŠČINA,Non-hazardous Wood from Municipal Waste (20 01 38),124.07
2019,GORIŠKA,AJDOVŠČINA,Paper and Cardboard Packaging (15 01 01),241.305
2019,GORIŠKA,AJDOVŠČINA,Paper and Cardboard from Municipal Waste (20 01 01),484.385
2019,GORIŠKA,IDRIJA,Bulky Municipal Waste (20 03 07),381.26
2019,GORIŠKA,IDRIJA,Non-hazardous Wood from Municipal Waste (20 01 38),496.71
2019,GORIŠKA,IDRIJA,Paper and Cardboard Packaging (15 01 01),304.32
2019,GORIŠKA,IDRIJA,Paper and Cardboard from Municipal Waste (20 01 01),235.067
2019,GORIŠKA,NOVA GORICA,Bulky Municipal Waste (20 03 07),1842.05
2019,GORIŠKA,NOVA GORICA,Non-hazardous Wood from Municipal Waste (20 01 38),1435.8
2019,GORIŠKA,NOVA GORICA,Paper and Cardboard Packaging (15 01 01),356.073
2019,GORIŠKA,NOVA GORICA,Paper and Cardboard from Municipal Waste (20 01 01),1642.029
2019,GORIŠKA,NOVA GORICA,Wooden Packaging (15 01 03),17.328
2019,GORIŠKA,TOLMIN,Bulky Municipal Waste (20 03 07),227.03
2019,GORIŠKA,TOLMIN,Non-hazardous Wood from Municipal Waste (20 01 38),523.22
2019,GORIŠKA,TOLMIN,Paper and Cardboard Packaging (15 01 01),316.378
2019,GORIŠKA,TOLMIN,Paper and Cardboard from Municipal Waste (20 01 01),267.478
