year,statistical_region,waste_code,type_of_waste,waste_category,waste_stored_start_year,waste_stored_end_year,next_year_start
2017,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,307.3,102.824,89.928
2018,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,89.928,208.889,208.889
2019,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,208.889,45.096,45.096
2020,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,45.096,37.685,37.685
2021,GORENJSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,37.685,29.171,13.185
2023,GORENJSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,13.185,0,NA
2023,GORENJSKA,NA,Sawdust/Shavings/Cuttings (03 01 05),NA,8.781,0,NA
2016,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,2.46,0.678,0.678
2017,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.678,0.678,0.678
2018,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.678,0.678,0.678
2019,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.678,0,16.8
2021,GORENJSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,16.8,21.4,0
2022,GORENJSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,0,0,2.3
2023,GORENJSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,2.3,0,NA
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,8.215,0,12.375
2019,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,12.375,9.194,9.194
2020,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,9.194,7.456,57.756
2021,GORENJSKA,NA,Wooden Packaging (15 01 03),NA,57.756,45.662,0
2022,GORENJSKA,NA,Wooden Packaging (15 01 03),NA,0,0,NA
2017,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,60,0,NA
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,63.481,68.386,56.028
2019,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,56.028,22.237,22.237
2020,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,22.237,16.513,16.513
2021,GORIŠKA,NA,Paper and Cardboard Packaging (15 01 01),NA,16.513,22.625,38.576
2023,GORIŠKA,NA,Paper and Cardboard Packaging (15 01 01),NA,38.576,0,NA
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,34.873,22.393,22.393
2017,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,22.393,33.275,33.275
2018,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,33.275,31.399,31.399
2019,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,31.399,18.279,18.279
2020,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,18.279,9.364,9.364
2021,GORIŠKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,9.364,38.426,3.2
2022,GORIŠKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,3.2,0,28.872
2023,GORIŠKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,28.872,0,NA
2016,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,12.738999999999999,10.591
2017,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,10.591,0,0.78
2018,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.78,2.974,2.974
2019,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2.974,19.656000000000002,19.656
2020,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,19.656,31.904,31.904
2021,GORIŠKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,31.904,4.101,NA
2023,GORIŠKA,NA,Silver-Containing Photographic Films and Paper (09 01 07),NA,3.378,0,NA
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,3.514,0,6.5
2018,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,6.5,0,1.169
2019,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1.169,0,0
2020,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,4.28,4.28
2021,GORIŠKA,NA,Wooden Packaging (15 01 03),NA,4.28,2.752,NA
2017,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,258.978,201.141,21.11
2019,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,21.11,135.19,135.19
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,135.19,239.73,239.73
2021,JUGOVZHODNA SLOVENIJA,NA,Bulky Municipal Waste (20 03 07),NA,239.73,91.12,NA
2017,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,70.247,0,NA
2017,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,417.514,120.726,1.74
2019,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1.74,84.695,84.695
2020,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,84.695,0,NA
2016,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,66.083,103.953,53.984
2019,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,53.984,344.24,344.24
2020,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,344.24,0,3.966
2021,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard Packaging (15 01 01),NA,3.966,231.255,561.14
2023,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard Packaging (15 01 01),NA,561.14,0,NA
2016,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,21.945,48.419,0.603
2017,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.603,0.603,87.537
2019,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,87.537,36.778,36.778
2020,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,36.778,0,0
2021,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,0,13.511,137.541
2022,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,137.541,0,309.595
2023,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,309.595,0,NA
2016,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,63.07,12.194,35.796
2017,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,35.796,0,0
2019,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,89.585,89.585
2020,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,89.585,0,0
2021,JUGOVZHODNA SLOVENIJA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,0,217.126,NA
2016,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,24.538,227.961
2017,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,227.961,0,0
2021,JUGOVZHODNA SLOVENIJA,NA,Sawdust/Shavings/Cuttings (03 01 05),NA,0,17.408,90.427
2023,JUGOVZHODNA SLOVENIJA,NA,Sawdust/Shavings/Cuttings (03 01 05),NA,90.427,0,NA
2017,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,313.966,150.608,NA
2016,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2.736,3.5,352.051
2017,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,352.051,3.5,3.5
2018,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,3.5,6.829,6.829
2019,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,6.829,47.314,47.314
2020,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,47.314,0,12.38
2021,JUGOVZHODNA SLOVENIJA,NA,Wooden Packaging (15 01 03),NA,12.38,0,244.35
2023,JUGOVZHODNA SLOVENIJA,NA,Wooden Packaging (15 01 03),NA,244.35,0,NA
2019,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,10.7,19.06,19.06
2020,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,19.06,16.26,16.26
2021,KOROŠKA,NA,Construction Wood Waste (17 02 01),NA,16.26,31.61,31.61
2023,KOROŠKA,NA,Construction Wood Waste (17 02 01),NA,31.61,0,NA
2023,OBALNO-KRAŠKA,NA,Construction Wood Waste (17 02 01),NA,84,0,NA
2016,OBALNO-KRAŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,3.3,3.3
2017,OBALNO-KRAŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3.3,0,NA
2016,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,98.927,43.274,43.274
2017,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,43.274,43.274,43.274
2018,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,43.274,51.973,125.393
2019,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,125.393,36.393,36.393
2020,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,36.393,0,0
2021,OBALNO-KRAŠKA,NA,Paper and Cardboard Packaging (15 01 01),NA,0,65.502,55.033
2023,OBALNO-KRAŠKA,NA,Paper and Cardboard Packaging (15 01 01),NA,55.033,0,NA
2016,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,30.58,37.065,50.366
2019,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,50.366,103.128,103.128
2020,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,103.128,0,0
2021,OBALNO-KRAŠKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,0,48.341,54.513
2023,OBALNO-KRAŠKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,54.513,0,NA
2019,OBALNO-KRAŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,61.48,61.48
2020,OBALNO-KRAŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,61.48,0,13.29
2023,OBALNO-KRAŠKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,13.29,0,NA
2016,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,8.21,0,15.219
2019,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,15.219,6.397,6.397
2020,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,6.397,0,0
2021,OBALNO-KRAŠKA,NA,Wooden Packaging (15 01 03),NA,0,5.771,NA
2019,OSREDNJESLOVENSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,6.52,5.024,5.024
2020,OSREDNJESLOVENSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,5.024,0,NA
2017,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0.58,0,7.02
2019,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,7.02,26,26
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,26,17.8,7.8
2021,OSREDNJESLOVENSKA,NA,Bulky Municipal Waste (20 03 07),NA,7.8,650.81,NA
2016,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,200,200
2017,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,200,0,0
2020,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,10.58,10.58
2021,OSREDNJESLOVENSKA,NA,Construction Wood Waste (17 02 01),NA,10.58,41.775,2.96
2022,OSREDNJESLOVENSKA,NA,Construction Wood Waste (17 02 01),NA,2.96,0,NA
2016,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,4517.17,5370.9619999999995,2467.372
2017,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2467.372,2920.5339999999997,2899.798
2018,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2899.798,1822.638,1846.348
2019,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1846.348,2630.79,2630.79
2020,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2630.79,6835.148,7553.418
2021,OSREDNJESLOVENSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,7553.418,5650.262,272.224
2023,OSREDNJESLOVENSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,272.224,0,NA
2016,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,151.189,289.35999999999996,289.35999999999996
2017,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,289.35999999999996,285.26800000000003,285.26800000000003
2018,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,285.26800000000003,191.809,27.325
2019,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,27.325,214.268,214.268
2020,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,214.268,104.15,4691.198
2021,OSREDNJESLOVENSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,4691.198,173.13,902.17
2022,OSREDNJESLOVENSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,902.17,0,598.94
2023,OSREDNJESLOVENSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,598.94,0,NA
2016,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,471.664,736.405,736.405
2017,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,736.405,1198.094,1198.094
2018,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1198.094,3811.7480000000005,1266.9450000000002
2019,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1266.9450000000002,4072.324,4072.324
2020,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,4072.324,291.574,10972.344
2021,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,10972.344,8394.487,5965.19
2022,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,5965.19,0,243.756
2023,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,243.756,0,NA
2016,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,271.308,0,0
2017,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,50.791000000000004,41.191
2018,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,41.191,1594.97,1594.97
2019,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1594.97,1892.019,1892.019
2020,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1892.019,4896.74,4896.74
2021,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,4896.74,7186.051,5631.372
2022,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,5631.372,0,4108.442
2023,OSREDNJESLOVENSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,4108.442,0,NA
2016,OSREDNJESLOVENSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,35.844,0.344,16.19
2019,OSREDNJESLOVENSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,16.19,34.31,34.31
2020,OSREDNJESLOVENSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,34.31,0,25.7
2023,OSREDNJESLOVENSKA,NA,Sawdust/Shavings/Cuttings (03 01 05),NA,25.7,0,NA
2016,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,1.416,0,493.35
2018,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,493.35,786.6,786.6
2019,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,786.6,540.483,540.483
2020,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,540.483,2066.56,2066.56
2021,OSREDNJESLOVENSKA,NA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),NA,2066.56,10293.693,10293.693
2022,OSREDNJESLOVENSKA,NA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),NA,10293.693,0,11162.317
2023,OSREDNJESLOVENSKA,NA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),NA,11162.317,0,NA
2017,OSREDNJESLOVENSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,703.358,2.21,2.21
2018,OSREDNJESLOVENSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,2.21,0,0
2021,OSREDNJESLOVENSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,0,7.14,7.14
2022,OSREDNJESLOVENSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,7.14,0,NA
2016,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,88.541,40.746,62.986
2017,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,62.986,39.672,12.5
2018,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,12.5,7,22.814
2019,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,22.814,6.499,6.499
2020,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,6.499,9.35,18.87
2021,OSREDNJESLOVENSKA,NA,Wooden Packaging (15 01 03),NA,18.87,53.596,10.5
2022,OSREDNJESLOVENSKA,NA,Wooden Packaging (15 01 03),NA,10.5,0,235.691
2023,OSREDNJESLOVENSKA,NA,Wooden Packaging (15 01 03),NA,235.691,0,NA
2016,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,539.84,539.84
2017,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,539.84,1560,120
2019,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,120,350,350
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,350,380.52,280.52
2021,PODRAVSKA,NA,Bulky Municipal Waste (20 03 07),NA,280.52,485.92,450.92
2022,PODRAVSKA,NA,Bulky Municipal Waste (20 03 07),NA,450.92,0,NA
2020,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,769.193,130,30
2021,PODRAVSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,30,55.891,NA
2023,PODRAVSKA,NA,"On-site Pulp, Paper and Cardboard Recycling Sludges (03 03 11)",NA,278.954,0,NA
2016,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,128.675,18.85,18.85
2017,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18.85,61.25,0
2018,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,68.08999999999999,66.145
2019,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,66.145,239.66199999999998,220.162
2020,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,220.162,63.975,63.975
2021,PODRAVSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,63.975,101.828,23.66
2022,PODRAVSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,23.66,0,85.874
2023,PODRAVSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,85.874,0,NA
2016,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,601.131,0.32,0.32
2017,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.32,316.245,316.245
2018,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,316.245,1167.03,1169.667
2019,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1169.667,488.789,441.869
2020,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,441.869,193.437,193.437
2021,PODRAVSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,193.437,260.785,170.598
2022,PODRAVSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,170.598,0,374.31
2023,PODRAVSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,374.31,0,NA
2016,PODRAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,0,0
2020,PODRAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,8.217,8.217
2021,PODRAVSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,8.217,34.293,NA
2016,PODRAVSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,0,0,NA
2016,PODRAVSKA,20 01 37*,Wood Containing Hazardous Substances (20 01 37*),Municipal Waste,0.038,0,NA
2023,PODRAVSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,5.622,0,NA
2016,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,237.15,237.15
2017,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,237.15,0,0.66
2019,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.66,0,0
2020,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,11.82,11.82
