year,statistical_region,type_of_waste,waste_category,treatment_process,waste_for_processing
2016,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",46.612
2016,OBALNO-KRAŠKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",31.171
2016,OBALNO-KRAŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2357.014
2016,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,9.66
2016,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",6602.522
2016,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,177.77
2016,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,225.6
2016,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,836.335
2016,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",274.33
2016,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,"R_12, R_13",106.86
2016,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,BO,1804.37
2016,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,378.28999999999996
2016,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,2197.26
2016,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,4406.812
2016,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",3737.039
2016,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,BO,4838.844
2016,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,16729.618
2016,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,38.63
2016,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",30745.940000000002
2016,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,19.176
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,38455.512
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,2.04
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",27338.002
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,215.864
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,BO,15033.864
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,29003.995
2016,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",1581.7189999999998
2016,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,7.99
2016,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_03,149.32
2016,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,38.54
2016,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_12,108.445
2016,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",20.24
2016,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,12.66
2016,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",24.03
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,701.567
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,77.753
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,2649.3579999999997
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,25.7
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,2408.194
2016,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2698.544
2016,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,56.01
2016,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,72.34
2016,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",6495.0109999999995
2016,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",373.02500000000003
2016,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,401.03999999999996
2016,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",285.53999999999996
2016,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,684.28
2016,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,20.56
2016,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",10779.516
2016,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_10,53.9
2016,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,5496.11
2016,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",14371.74
2016,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,252.23
2016,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,5753.37
2016,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",176.843
2016,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,280
2016,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",327.83
2016,PODRAVSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0.065
2016,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,D_10,3.789
2016,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,237.15
2016,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",1957.968
2016,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",4.362
2016,POMURSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",1.94
2016,POMURSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3593.327
2016,POMURSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1815.96
2016,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_10,0.018
2016,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",231.074
2016,POMURSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1117.44
2016,POMURSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",382.627
2016,POSAVSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_01,23065
2016,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",666.3199999999999
2016,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,7.08
2016,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",3.26
2016,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",268.65999999999997
2016,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,859.665
2016,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1435.627
2016,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,143783.486
2016,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,22193.65
2016,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",561.194
2016,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,52190.684
2016,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,144.1
2016,POSAVSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,176.69
2016,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,254
2016,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,28.86
2016,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",97.817
2016,PRIMORSKO-NOTRANJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",187.02
2016,PRIMORSKO-NOTRANJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,27463.95
2016,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,385.066
2016,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",207
2016,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,15
2016,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,10197.894
2016,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",154.18599999999998
2016,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,D_01,12.3
2016,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,55.96
2016,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",223.00099999999998
2016,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,211.44
2016,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,70
2016,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,655.872
2016,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",877.642
2016,SAVINJSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",1014.61
2016,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",13161.310000000001
2016,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,3.34
2016,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",5916.991
2016,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_13,1.3
2016,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,19.96
2016,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",307.424
2016,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,D_01,0.98
2016,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,298.675
2016,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1741.893
2016,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,4084.765
2016,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",143.14
2016,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,D_00,2.315
2016,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,269.9
2016,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",6378.576999999999
2016,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",615.665
2016,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_13,73.16
2016,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_05,11.3
2016,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",273.52
2016,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,38.4
2016,ZASAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",66.336
2016,ZASAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1084.371
2016,NEOPREDELJENO,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2608.035
2016,NEOPREDELJENO,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,0.915
2016,NEOPREDELJENO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,0.077
2016,NEOPREDELJENO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",351.64
2016,NEOPREDELJENO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,0.575
2016,NEOPREDELJENO,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",327.51
2016,NEOPREDELJENO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,6.241
2016,NEOPREDELJENO,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",464.199
2017,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,4238.07
2017,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,18.584
2017,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2525.692
2017,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,579.29
2017,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,264.7
2017,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",29.386000000000003
2017,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,11.56
2017,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1363.469
2017,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,98.57
2017,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,181.968
2017,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5306.855
2017,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",4913.612
2017,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,3762.381
2017,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",202.661
2017,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,861.714
2017,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",44.57
2017,GORENJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2005.844
2017,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,3931.4
2017,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,72.6
2017,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",390.80199999999996
2017,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,389.42
2017,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2451.259
2017,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_13,78.903
2017,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,333.86
2017,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",11.782
2017,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",66.13
2017,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",62.19
2017,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,16.11
2017,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1978.683
2017,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,38.875
2017,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1118.73
2017,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",443.08599999999996
2017,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,R_0101,30.125
2017,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",420.323
2017,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,904.26
2017,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1038.0520000000001
2017,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",333.892
2017,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",396.436
2017,JUGOVZHODNA SLOVENIJA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",67.44
2017,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0
2017,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5954.942
2017,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2393.284
2017,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",55.54
2017,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",2279.2690000000002
2017,JUGOVZHODNA SLOVENIJA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2058.542
2017,JUGOVZHODNA SLOVENIJA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",1831.086
2017,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,PU,37.6
2017,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,R_03,0.84
2017,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",4540.63
2017,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1838.23
2017,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1235.623
2017,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",708.58
2017,KOROŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2082.01
2017,KOROŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",162.325
2017,OBALNO-KRAŠKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",1.432
2017,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",88.386
2017,OBALNO-KRAŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",40.076
2017,OBALNO-KRAŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1519.7800000000002
2017,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4948.3279999999995
2017,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,24.48
2017,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1927.0030000000002
2017,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,195.48
2017,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",8.677
2017,OBALNO-KRAŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1180.139
2017,OBALNO-KRAŠKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",9.203
