year,statistical_region,name_of_municipality,waste_code,type_of_waste,waste_category,waste_collected_by_municipality
2018,GORENJSKA,ŽIRI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,42.15
2018,GORENJSKA,ŽIROVNICA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.84
2018,GORIŠKA,AJDOVŠČINA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.119
2018,GORIŠKA,AJDOVŠČINA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,242.56
2018,GORIŠKA,CERKNO,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,108.24
2018,GORIŠKA,IDRIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,39.072
2018,GORIŠKA,IDRIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,359.625
2018,GORIŠKA,KANAL,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.08
2018,GORIŠKA,NOVA GORICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18.365
2018,GORIŠKA,NOVA GORICA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,8.4
2018,GORIŠKA,NOVA GORICA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.381
2018,GORIŠKA,NOVA GORICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,60.68
2018,GORIŠKA,TOLMIN,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,6.066
2018,GORIŠKA,TOLMIN,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,63.075
2018,GORIŠKA,VIPAVA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,60.7
2018,GORIŠKA,ŠEMPETER-VRTOJBA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3.077
2018,JUGOVZHODNA SLOVENIJA,DOLENJSKE TOPLICE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,57.456
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.863
2018,JUGOVZHODNA SLOVENIJA,LOŠKI POTOK,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,92.329
2018,JUGOVZHODNA SLOVENIJA,METLIKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.881
2018,JUGOVZHODNA SLOVENIJA,METLIKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,249.65300000000002
2018,JUGOVZHODNA SLOVENIJA,MIRNA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,29.138
2018,JUGOVZHODNA SLOVENIJA,MIRNA PEČ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0.562
2018,JUGOVZHODNA SLOVENIJA,MOKRONOG-TREBELNO,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,35.707
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,38.355
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1.51
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1007.885
2018,JUGOVZHODNA SLOVENIJA,OSILNICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4.98
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.622
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,163.102
2018,JUGOVZHODNA SLOVENIJA,SEMIČ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,145.064
2018,JUGOVZHODNA SLOVENIJA,SODRAŽICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,38.469
2018,JUGOVZHODNA SLOVENIJA,STRAŽA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3.3009999999999997
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.49
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,120.925
2018,JUGOVZHODNA SLOVENIJA,ČRNOMELJ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,532.455
2018,JUGOVZHODNA SLOVENIJA,ŠENTJERNEJ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,103.49
2018,JUGOVZHODNA SLOVENIJA,ŠENTRUPERT,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,29.59
2018,JUGOVZHODNA SLOVENIJA,ŠKOCJAN,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0.862
2018,JUGOVZHODNA SLOVENIJA,ŠMARJEŠKE TOPLICE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3.0729999999999995
2018,JUGOVZHODNA SLOVENIJA,ŽUŽEMBERK,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,71.299
2018,KOROŠKA,DRAVOGRAD,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.126000000000001
2018,KOROŠKA,DRAVOGRAD,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,239.82
2018,KOROŠKA,MEŽICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.133
2018,KOROŠKA,MEŽICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,101.471
2018,KOROŠKA,MISLINJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.491
2018,KOROŠKA,MISLINJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,135.36
2018,KOROŠKA,MUTA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.287
2018,KOROŠKA,MUTA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,57.43
2018,KOROŠKA,PODVELKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.205
2018,KOROŠKA,PODVELKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,41.051
2018,KOROŠKA,PREVALJE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,14.694
2018,KOROŠKA,PREVALJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,149.798
2018,KOROŠKA,RADLJE OB DRAVI,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.489
2018,KOROŠKA,RADLJE OB DRAVI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,97.752
2018,KOROŠKA,RAVNE NA KOROŠKEM,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3.645
2018,KOROŠKA,RAVNE NA KOROŠKEM,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,261.953
2018,KOROŠKA,RIBNICA NA POHORJU,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.1
2018,KOROŠKA,RIBNICA NA POHORJU,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19.94
2018,KOROŠKA,SLOVENJ GRADEC,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,118.487
2018,KOROŠKA,SLOVENJ GRADEC,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,543.06
2018,KOROŠKA,VUZENICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.219
2018,KOROŠKA,VUZENICA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.78
2018,KOROŠKA,VUZENICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,43.807
2018,KOROŠKA,ČRNA NA KOROŠKEM,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.054
2018,KOROŠKA,ČRNA NA KOROŠKEM,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,104.918
2018,OBALNOKRAŠKA,HRPELJE-KOZINA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.827
2018,OBALNOKRAŠKA,IZOLA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.96
2018,OBALNOKRAŠKA,IZOLA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,8.06
2018,OBALNOKRAŠKA,IZOLA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.18
2018,OBALNOKRAŠKA,IZOLA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,261.94
2018,OBALNOKRAŠKA,KOPER,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,110.832
2018,OBALNOKRAŠKA,KOPER,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,46.2
2018,OBALNOKRAŠKA,KOPER,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2.88
2018,OBALNOKRAŠKA,KOPER,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,39.685
2018,OBALNOKRAŠKA,PIRAN,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,15.94
2018,OBALNOKRAŠKA,PIRAN,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2.18
2018,OBALNOKRAŠKA,PIRAN,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,278.56
2018,OBALNOKRAŠKA,SEŽANA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13.055
2018,OSREDNJESLOVENSKA,BOROVNICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,49.518
2018,OSREDNJESLOVENSKA,BREZOVICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,8.272
2018,OSREDNJESLOVENSKA,BREZOVICA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,100.5
2018,OSREDNJESLOVENSKA,BREZOVICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,185.74
2018,OSREDNJESLOVENSKA,DOBREPOLJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,24.4
2018,OSREDNJESLOVENSKA,DOBROVA-POLHOV GRADEC,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,62.66
2018,OSREDNJESLOVENSKA,DOL PRI LJUBLJANI,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.385
2018,OSREDNJESLOVENSKA,DOL PRI LJUBLJANI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,54.76
2018,OSREDNJESLOVENSKA,DOMŽALE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.689
2018,OSREDNJESLOVENSKA,DOMŽALE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,670.116
2018,OSREDNJESLOVENSKA,GROSUPLJE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,20.098
2018,OSREDNJESLOVENSKA,GROSUPLJE,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,9.84
2018,OSREDNJESLOVENSKA,GROSUPLJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,104.97
2018,OSREDNJESLOVENSKA,HORJUL,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,49.36
2018,OSREDNJESLOVENSKA,IG,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,83.18
2018,OSREDNJESLOVENSKA,IG,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,182.24
2018,OSREDNJESLOVENSKA,IVANČNA GORICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,90.77
2018,OSREDNJESLOVENSKA,KAMNIK,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,10.792
2018,OSREDNJESLOVENSKA,KAMNIK,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.22
2018,OSREDNJESLOVENSKA,LJUBLJANA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,528.833
2018,OSREDNJESLOVENSKA,LJUBLJANA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,11.65
2018,OSREDNJESLOVENSKA,LJUBLJANA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,4.572
2018,OSREDNJESLOVENSKA,LJUBLJANA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,5066.4000000000005
2018,OSREDNJESLOVENSKA,LJUBLJANA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,6664.714
2018,OSREDNJESLOVENSKA,LOG-DRAGOMER,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,54.342
2018,OSREDNJESLOVENSKA,LOGATEC,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,46.626
2018,OSREDNJESLOVENSKA,LOGATEC,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,115.02
2018,OSREDNJESLOVENSKA,LOGATEC,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.02
2018,OSREDNJESLOVENSKA,LOGATEC,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,325.96
2018,OSREDNJESLOVENSKA,LOGATEC,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,5.66
2018,OSREDNJESLOVENSKA,LUKOVICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,7.43
2018,OSREDNJESLOVENSKA,LUKOVICA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.39
2018,OSREDNJESLOVENSKA,LUKOVICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,89.349
2018,OSREDNJESLOVENSKA,MEDVODE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.833
2018,OSREDNJESLOVENSKA,MEDVODE,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,183.06
2018,OSREDNJESLOVENSKA,MEDVODE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,233.42
2018,OSREDNJESLOVENSKA,MENGEŠ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,7.957
2018,OSREDNJESLOVENSKA,MENGEŠ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,134.023
2018,OSREDNJESLOVENSKA,MORAVČE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,89.349
2018,OSREDNJESLOVENSKA,TRZIN,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.905
2018,OSREDNJESLOVENSKA,TRZIN,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,134.023
2018,OSREDNJESLOVENSKA,VELIKE LAŠČE,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,52.14
2018,OSREDNJESLOVENSKA,VELIKE LAŠČE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,102.5
2018,OSREDNJESLOVENSKA,VODICE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2.009
2018,OSREDNJESLOVENSKA,VODICE,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,71.32
2018,OSREDNJESLOVENSKA,VODICE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,124.26
2018,OSREDNJESLOVENSKA,VRHNIKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,66.317
2018,OSREDNJESLOVENSKA,VRHNIKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,45.85
2018,OSREDNJESLOVENSKA,VRHNIKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.22
2018,OSREDNJESLOVENSKA,VRHNIKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,100.81
2018,OSREDNJESLOVENSKA,ŠKOFLJICA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,84.36
2018,OSREDNJESLOVENSKA,ŠKOFLJICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,85.1
2018,OSREDNJESLOVENSKA,ŠMARTNO PRI LITIJI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,180.76
2018,PODRAVSKA,HOČE-SLIVNICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.585
2018,PODRAVSKA,HOČE-SLIVNICA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.14
2018,PODRAVSKA,KUNGOTA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,5.54
2018,PODRAVSKA,LENART,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,115.459
2018,PODRAVSKA,LENART,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,30.27
2018,PODRAVSKA,MAKOLE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.134
2018,PODRAVSKA,MARIBOR,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,245.915
2018,PODRAVSKA,MARIBOR,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.88
2018,PODRAVSKA,MARIBOR,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,178.22
2018,PODRAVSKA,MIKLAVŽ NA DRAVSKEM POLJU,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.532
2018,PODRAVSKA,MIKLAVŽ NA DRAVSKEM POLJU,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8.78
2018,PODRAVSKA,OPLOTNICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.7
2018,PODRAVSKA,ORMOŽ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,26.306
2018,PODRAVSKA,ORMOŽ,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.98
2018,PODRAVSKA,ORMOŽ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,151.45
2018,PODRAVSKA,PESNICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8.26
2018,PODRAVSKA,PODLEHNIK,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.2
2018,PODRAVSKA,POLJČANE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.984
2018,PODRAVSKA,PTUJ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,32.201
2018,PODRAVSKA,PTUJ,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7.48
2018,PODRAVSKA,RAČE-FRAM,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.267
2018,PODRAVSKA,RUŠE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,108.68
2018,PODRAVSKA,RUŠE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19.14
2018,PODRAVSKA,SELNICA OB DRAVI,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.395
2018,PODRAVSKA,SELNICA OB DRAVI,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2.73
2018,PODRAVSKA,SELNICA OB DRAVI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.3
2018,PODRAVSKA,SLOVENSKA BISTRICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18.49
2018,PODRAVSKA,SLOVENSKA BISTRICA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.36
2018,PODRAVSKA,SLOVENSKA BISTRICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,7.085
2018,PODRAVSKA,SREDIŠČE OB DRAVI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,30.29
2018,PODRAVSKA,STARŠE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8.28
2018,PODRAVSKA,SVETI TOMAŽ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20.18
2018,PODRAVSKA,ŠENTILJ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.198
2018,POMURSKA,APAČE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,299.51
2018,POMURSKA,BELTINCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,234.86
2018,POMURSKA,CANKOVA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,52.59
2018,POMURSKA,DOBROVNIK,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,43.68
2018,POMURSKA,GORNJA RADGONA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.147
2018,POMURSKA,GORNJA RADGONA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7.62
2018,POMURSKA,GORNJA RADGONA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,183.64
2018,POMURSKA,GORNJI PETROVCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,11.4
2018,POMURSKA,GRAD,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,45.8
2018,POMURSKA,HODOŠ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.12
2018,POMURSKA,KOBILJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,14.2
2018,POMURSKA,KRIŽEVCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,195.48
2018,POMURSKA,KUZMA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,9.18
2018,POMURSKA,LENDAVA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.004
2018,POMURSKA,LENDAVA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,198.82
2018,POMURSKA,LJUTOMER,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.551
2018,POMURSKA,LJUTOMER,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.525
2018,POMURSKA,LJUTOMER,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,635.25
2018,POMURSKA,MORAVSKE TOPLICE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,129.78
2018,POMURSKA,MURSKA SOBOTA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,52.69
2018,POMURSKA,MURSKA SOBOTA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,31.39
2018,POMURSKA,MURSKA SOBOTA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,603.81
2018,POMURSKA,ODRANCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,39.3
2018,POMURSKA,PUCONCI,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,239.58
2018,POMURSKA,PUCONCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,125.518
2018,POMURSKA,RADENCI,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,74.9
2018,POMURSKA,RADENCI,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,13.58
2018,POMURSKA,RADENCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,104.39
2018,POMURSKA,RAZKRIŽJE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,65.03
2018,POMURSKA,ROGAŠOVCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,44.04
2018,POMURSKA,SVETI JURIJ OB ŠČAVNICI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,29.17
2018,POMURSKA,TIŠINA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,100.71
2018,POMURSKA,TURNIŠČE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,80.68
2018,POMURSKA,VELIKA POLANA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,15.16
2018,POMURSKA,VERŽEJ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,88.73
2018,POMURSKA,ČRENŠOVCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,109.95
2018,POMURSKA,ŠALOVCI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,25.19
2018,POSAVSKA,BISTRICA OB SOTLI,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2.793
2018,POSAVSKA,BISTRICA OB SOTLI,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0.599
2018,POSAVSKA,BREŽICE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.74
2018,POSAVSKA,BREŽICE,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.74
2018,POSAVSKA,BREŽICE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3.8
