year,statistical_region,waste_code,type_of_waste,waste_category,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2016,PODRAVSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,22.12,0,22.12,0,0
2016,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,9154.257,8703.599,231.156,59.422000000000004,160.08
2016,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,4802.0380000000005,4503.948,265.05,0,33.04
2016,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8162.259999999999,7235.887,215.693,710.68,0
2016,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,535.304,392.78700000000003,100.05699999999999,23.68,18.78
2016,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,21.658,0,21.658,0,0
2016,POMURSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,85.44,0,85.44,0,0
2016,POMURSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,326.826,0,0,0,326.826
2016,POMURSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.631,0,0,0,0.631
2016,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1844.895,1701.6,143.29500000000002,0,0
2016,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,254.46,254.46,0,0,0
2016,POMURSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2195.662,2190.302,5.359999999999999,0,0
2016,POSAVSKA,03 01 99,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,23.04,0,23.04,0,0
2016,POSAVSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,8.39,0,8.39,0,0
2016,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1402.229,830.168,511.564,40.58,19.917
2016,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,123.268,30.284,92.984,0,0
2016,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.2,0,0.2,0,0
2016,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1211.834,966.573,194.228,42.26,8.773
2016,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,628.06,619.92,8.14,0,0
2016,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1269.87,1269.87,0,0,0
2016,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,293.35200000000003,167.556,125.796,0,0
2016,PRIMORSKO-NOTRANJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,2.48,0,1.24,1.24,0
2016,PRIMORSKO-NOTRANJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.22,0,0.22,0,0
2016,PRIMORSKO-NOTRANJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,938.926,934.726,4.2,0,0
2016,PRIMORSKO-NOTRANJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,577.1899999999999,551.56,25.63,0,0
2016,PRIMORSKO-NOTRANJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1246.46,1141.43,105.03,0,0
2016,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,4.5,0,4.5,0,0
2016,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,340.04699999999997,14.71,325.337,0,0
2016,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2053.646,1499.13,189.43200000000002,6.96,358.124
2016,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,171.15699999999998,128.275,42.882000000000005,0,0
2016,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,89.24,5.44,83.8,0,0
2016,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,414.327,153.542,236.629,0,24.156
2016,SAVINJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,3168.97,0,0,249.71,2919.26
2016,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,3552.812,3539.112,13.700000000000001,0,0
2016,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1784.532,1784.532,0,0,0
2016,SAVINJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8840.609,6495.299,0.27,2345.04,0
2016,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1498.436,476.331,848.228,173.877,0
2016,ZASAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,124.87,0,124.87,0,0
2016,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,715.764,508.998,206.76600000000002,0,0
2016,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,553.1,521,32.1,0,0
2016,ZASAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,608.44,606.94,1.5,0,0
2016,NA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.14,0,0.14,0,0
2016,NA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,123.89,0,123.89,0,0
2016,NA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,1.55,0,1.55,0,0
2016,NA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,8.378,0,8.378,0,0
2016,NA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0.077,0,0.077,0,0
2016,NA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0.03,0,0.03,0,0
2017,GORENJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,5.809,0,5.809,0,0
2017,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1602.1509999999998,1600.306,1.845,0,0
2017,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,104.67,26.99,77.68,0,0
2017,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,497.47,497.47,0,0,0
2017,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,44.31,0.44,43.870000000000005,0,0
2017,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,152.06599999999997,149.67,2.396,0,0
2017,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,3633.4829999999997,3308.138,144.405,180.94,0
2017,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3079.95,3079.95,0,0,0
2017,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4337.697,4315.267,22.43,0,0
2017,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,15.3,0,15.3,0,0
2017,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1294.869,1114.866,180.003,0,0
2017,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,191.14899999999997,143.149,48,0,0
2017,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,168.41,0,168.41,0,0
2017,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,12.394,0,0,0,12.394
2017,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2735.953,2727.304,0,8.649,0
2017,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3074.27,3061.0699999999997,13.2,0,0
2017,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2469.254,2467.504,1.75,0,0
2017,JUGOVZHODNA SLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0.079,0,0.079,0,0
2017,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,2986.4429999999998,115.87,1.54,154.81,2714.223
2017,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2620.478,1057.218,1557.1699999999998,0,6.09
2017,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,84.324,26.604,16.950000000000003,0,40.77
2017,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,103.21600000000001,0,103.21600000000001,0,0
2017,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,121.82,0,0,0,121.82
2017,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,185.48,0,0,0,185.48
2017,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2528.125,2523.305,3.24,0,1.58
2017,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1385.316,1240.056,144.14000000000001,0,1.12
2017,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2170.428,1644.4279999999999,526,0,0
2017,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1099.6229999999998,211.637,613.228,0,274.758
2017,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,516.88,0,495.674,21.206,0
2017,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,16,0,16,0,0
2017,KOROŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,20.761,0,20.761,0,0
2017,KOROŠKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,65.936,0,65.936,0,0
2017,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,443.92,349.396,58.524,1.3,34.7
2017,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1558.92,1558.92,0,0,0
2017,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1881.2,0,1881.2,0,0
2017,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1544.866,1344.119,200.74699999999999,0,0
2017,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,509.9199999999999,13.12,383.563,113.237,0
2017,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2502.892,2346.2509999999997,156.641,0,0
2017,OBALNO-KRAŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3625.7,3603.389,22.311,0,0
2017,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1095,1041.981,53.019,0,0
2017,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,3575.6079999999997,0,3574.359,1.249,0
2017,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,29773.93,4032.83,16476.071,3726.67,5538.359
2017,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,5943.823,640.339,4285.014,136.57000000000002,881.9
2017,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,47.598,29.759999999999998,17.838,0,0
2017,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,11524.553,0,977.3919999999999,2.727,10544.434
2017,OSREDNJESLOVENSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,5.474,0,5.474,0,0
2017,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,61482.122,15187.831,31942.196,7662.921,6689.174
2017,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,7557.811000000001,7117.421,282.26,158.13,0
2017,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8951.726,8804.982,146.744,0,0
2017,PODRAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,8.22,0,8.22,0,0
2017,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2449.819,1663.1309999999999,786.688,0,0
2017,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1221.074,30.48,1190.594,0,0
2017,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,286.59000000000003,0,286.59000000000003,0,0
2017,PODRAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,463.517,123.337,10.02,0,330.16
2017,PODRAVSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,44.800000000000004,0,44.800000000000004,0,0
2017,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7520.813,7381.782999999999,91.843,47.187,0
2017,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,5948.1089999999995,5537.022,390.417,20.67,0
2017,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,7431.012000000001,6400.281,396.151,634.58,0
2017,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,619.317,477.13700000000006,99.55199999999999,42.628,0
2017,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,12.816,0,12.816,0,0
2017,POMURSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,74.3,0,74.3,0,0
2017,POMURSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,395.373,0,0,0,395.373
2017,POMURSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,1.085,0,0,0,1.085
2017,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2193.6859999999997,1987.749,205.937,0,0
2017,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,405.92,403.58000000000004,2.34,0,0
2017,POMURSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2666.1130000000003,2660.3030000000003,5.81,0,0
2017,POSAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,119.63,0,119.63,0,0
2017,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,19.26,0,19.26,0,0
2017,POSAVSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,17.691,0,17.691,0,0
2017,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1050.566,716.075,315.67100000000005,18.82,0
2017,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,275.375,113.38,161.995,0,0
2017,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1711.723,1136.046,491.91700000000003,83.76,0
2017,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,596.66,516.4,80.26,0,0
2017,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,742.62,718.02,24.6,0,0
2017,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,608.375,234.93,373.445,0,0
2017,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1.03,0,1.03,0,0
2017,PRIMORSKO-NOTRANJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,524.149,524.149,0,0,0
2017,PRIMORSKO-NOTRANJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,460.52,421.82,38.699999999999996,0,0
2017,PRIMORSKO-NOTRANJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1237.684,1096.194,141.49,0,0
2017,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,17.759999999999998,11.5,6.26,0,0
2017,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,272.96,0,272.96,0,0
2017,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1291.868,1120.222,122.946,0,48.7
2017,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,305.511,0.07,305.44100000000003,0,0
2017,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,167.584,5.16,162.424,0,0
2017,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,230.336,230.336,0,0,0
2017,SAVINJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,5779.3099999999995,0,254.88,1256.23,4268.2
2017,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,5933.746,5933.176,0.57,0,0
2017,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3058.196,3058.196,0,0,0
2017,SAVINJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,8475.034,7189.314,1285.72,0,0
2017,ZASAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,38.94,0,0,38.94,0
2017,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,961.845,281.526,583.393,96.926,0
2017,ZASAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,192.66,0.34,184.077,8.243,0
2017,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.53,0,0,0,0.53
2017,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,702.0519999999999,530.959,171.093,0,0
2017,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,622.44,601.21,21.23,0,0
2017,ZASAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,652.48,652.48,0,0,0
2018,GORENJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,5.66,0,5.66,0,0
2018,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1649.483,1649.483,0,0,0
2018,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,157.96,41,116.96000000000001,0,0
2018,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,510.21,510.21,0,0,0
2018,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,3.682,0,3.682,0,0
2018,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,9.84,9.84,0,0,0
2018,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6050.039,3250.47,154.575,92.62,2552.374
2018,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2759.58,2759.58,0,0,0
2018,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3948.261,3903.551,44.71,0,0
