year,waste_code,type_of_waste,waste_category,mass_change,treatment_operation
2020,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,109.148,NA
2020,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,NA
2020,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,63.025,NA
2020,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,-26.745,NA
2020,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,121.473,NA
2020,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,18.392,NA
2020,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1158.338,NA
2021,02 01 07,Forestry Waste (02 01 07),Agricultural/Forestry Waste,2.92,NA
2021,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0.04,NA
2021,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,68.755,NA
2021,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,1931.62,NA
2021,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,193.144,NA
2021,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,57.032,NA
2021,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1203.892,NA
2022,02 01 07,Forestry Waste (02 01 07),Agricultural/Forestry Waste,5.58,R_03
2022,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,6373.816,R_03
2022,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,-36.898,R_03
2022,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,58.352,"R_12, R_13"
2022,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.132,"R_12, R_13"
2022,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,R_12
2022,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,-1085.302,R_03
2022,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,-594.572,R_03
2022,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,76.48,R_12
2022,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,111.303,"R_12, R_13"
2022,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,-494.74,R_03
2022,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,18.67,R_0302
2022,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,880.146,"R_12, R_13"
2022,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3.96,R_0302
2022,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,30.599,R_12
2022,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,488.768,"R_12, R_13"
2022,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,16.364,NA
2023,02 01 07,Forestry Waste (02 01 07),Agricultural/Forestry Waste,5.047,R_03
2023,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0,R_03
2023,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1014.82,R_01
2023,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0.634,R_03
2023,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,167.435,R_01
2023,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,-98673.68000000001,R_03
2023,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,485.291,R_03
2023,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,122.085,"R_12, R_13"
2023,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,-11.659,R_13
2023,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,PU
2023,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,617.931,R_01
2023,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.309,"R_12, R_13"
2023,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,8.158,R_03
2023,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.938,D_10
2023,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1002.3090000000001,R_03
2023,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,151.4,R_01
2023,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,-1330.439,R_03
2023,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,59.803,R_12
2023,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,123.16799999999999,"R_12, R_13"
2023,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,3162.2430000000004,R_01
2023,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,244.354,R_0302
2023,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,42.9,R_12
2023,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2076.45,"R_12, R_13"
2023,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4.91,R_0302
2023,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1037.411,R_12
2023,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,756.912,"R_12, R_13"
