"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU"
2022,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1919.265,18.32,1900.945,0,0
2022,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2783.78,0,2783.78,0,0
2022,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3438.41,0,3438.41,0,0
2022,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1475.037,104.34,1329.137,41.56,0
2022,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",428.758,0,428.758,0,0
2022,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",5.16,0,5.16,0,0
2022,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",58.279,0,58.279,0,0
2022,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",29.98,0,29.98,0,0
2022,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",865.642,0,865.642,0,0
2022,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",48.56,0,48.56,0,0
2022,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2155.68,0,2155.68,0,0
2022,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",86.62,0,0,86.62,0
2022,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1567.293,78.531,1488.762,0,0
2022,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1642.86,0,1642.86,0,0
2022,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2328.804,303.54,2025.264,0,0
2022,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3888.73,0,3888.73,0,0
2022,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2178.62,0,2178.62,0,0
2022,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1.1,0,1.1,0,0
2022,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2341.155,0,2341.155,0,0
2022,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12677.13,263.365,12413.765,0,0
2022,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3302.071,21.82,3034.501,245.75,0
2022,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",618.27,0,529.81,88.46,0
2022,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",820.754,0,515.914,304.84,0
2022,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",2.874,0,2.874,0,0
2022,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",41943.197,8159.03,33784.167,0,0
2022,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",11955.865,0,11955.865,0,0
2022,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",13302.18,0,13302.18,0,0
2022,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",113.24,0,0,113.24,0
2022,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2262.654,197.31,2065.344,0,0
2022,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1034.407,341.17,693.237,0,0
2022,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",159.47,0,159.47,0,0
2022,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",47.68,0,24.06,23.62,0
2022,"PODRAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",25.42,0,0,25.42,0
2022,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7842.052,709.832,7132.22,0,0
2022,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",10551.674,398.233,10153.441,0,0
2022,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",9568.334,1000.28,8568.054,0,0
2022,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1120.639,0,1120.639,0,0
2022,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",157.149,0,157.149,0,0
2022,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",129.62,0,129.62,0,0
2022,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2273.525,89.534,2142.151,41.84,0
2022,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1043.2,0,1043.2,0,0
2022,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3720.87,0,3720.87,0,0
2022,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",39.94,0,39.94,0,0
2022,"POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",3.94,0,3.94,0,0
2022,"POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",29.48,0,29.48,0,0
2022,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1417.881,159.056,1206.965,51.86,0
2022,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",185.169,2.24,182.929,0,0
2022,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1860.179,115.49,1626.829,117.86,0
2022,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2437.95,2.06,2435.89,0,0
2022,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1142.12,0,1142.12,0,0
2022,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",506.932,0,506.932,0,0
2022,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",12.19,0,12.19,0,0
2022,"PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",4.74,0,4.74,0,0
2022,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",864.868,598.26,266.608,0,0
2022,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1467.66,0,1467.66,0,0
2022,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2141.48,0,2141.48,0,0
2022,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",95.18,0,95.18,0,0
2022,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5805.265,49.315,5755.95,0,0
2022,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3682.55,0,3682.55,0,0
2022,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",792.205,137.5,654.705,0,0
2022,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",53.78,0,0,53.78,0
2022,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5535.892,73.92,5461.972,0,0
2022,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4095.76,82.56,4013.2,0,0
2022,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",10554.06,22.86,10531.2,0,0
2022,"ZASAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3.618,0,3.618,0,0
2022,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1239.86,111.27,1128.59,0,0
2022,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",205.194,0,205.194,0,0
2022,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",436.811,20.72,416.091,0,0
2022,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1045.77,0,1045.77,0,0
2022,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",728.8,0,728.8,0,0
