"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","waste_received","waste_from_producers_no_list","waste_from_producers_with_list","waste_from_other_collectors","waste_from_processors"
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",45.72,0,45.72,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",46.369,0,42.701,0,3.668
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",119.36,0,119.36,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",348.21099999999996,258.375,71.136,5.8999999999999995,12.8
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.08,0,5.08,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",258.193,258.193,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3292.016,0,3292.016,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4998.9130000000005,0,4998.9130000000005,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1655.555,0,1655.555,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",58.578,0,58.578,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",14.482,0,14.482,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8268.715,1771.716,1999.039,4497.96,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",56.35,0,56.35,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.954,0,4.954,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",6.04,0,0,6.04,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1246.665,1198.548,5.886,42.231,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",207.13299999999998,0,156.373,0,50.76
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",81.756,0,81.756,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",45.48,0,45.48,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",347.064,0,0,0,347.064
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",601.485,415.37,186.115,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",77.14,0,0,0,77.14
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",241.49599999999998,0,50.769999999999996,0,190.726
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",649.25,0,649.25,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",591.2149999999999,0,565.175,26.04,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",264.361,0,262.361,2,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.92,0,7.92,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3.7199999999999998,0,3.7199999999999998,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",505.39700000000005,385.059,62.278,58.06,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",20.073999999999998,0,20.073999999999998,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",59.74,0,59.74,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1335.931,1335.931,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",683.836,0,646.809,37.027,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",286.6,0,264.37,0.26,21.97
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",461.57000000000005,172.677,288.89300000000003,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.71,0,1.71,0,0
2019,"EKO LES PLUS, ravnanje z odpadki, proizvodnja, trgovina, posredništvo, projektiranje in druge storitve, d.o.o.","PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",4.1899999999999995,0,4.1899999999999995,0,0
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",89.849,89.849,0,0,0
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",135.06,135.06,0,0,0
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",158.5,156.26,2.24,0,0
2019,"EKSTERA, trgovina, prevozništvo in druge poslovne storitve, d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3.974,0,0,0,3.974
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",98.22,0,98.22,0,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",106.05000000000001,0,106.05000000000001,0,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",157.77,0,157.77,0,0
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28289.575,0,27146.795000000002,1142.78,0
2019,"Fetrans, prevozništvo in storitve d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4.88,0,4.88,0,0
2019,"GM KUSELJ, gradbena mehanizacija, d.o.o.","JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",70.762,0,70.762,0,0
2019,"INFRASTRUKTURA BLED d.o.o.","GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",127.947,127.947,0,0,0
2019,"INFRASTRUKTURA BLED d.o.o.","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",258.87,258.87,0,0,0
2019,"INFRASTRUKTURA BLED d.o.o.","GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",540.58,540.58,0,0,0
2019,"INFRASTRUKTURA BLED d.o.o.","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",245.09,245.09,0,0,0
2019,"INTER REC 2, proizvodnja, trgovina in storitve, d.o.o.","JUGOVZHODNA SLOVENIJA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",0.107,0,0.107,0,0
2019,"INTER REC 2, proizvodnja, trgovina in storitve, d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2290.904,0.604,2290.3,0,0
2019,"INTER REC 2, proizvodnja, trgovina in storitve, d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2.06,0,2.06,0,0
2019,"INTER REC 2, proizvodnja, trgovina in storitve, d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.45,0,1.45,0,0
2019,"J.D.Z. odpadki, reciklaža sekundarnih surovin, d.o.o.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",100.62,0,100.62,0,0
2019,"J.D.Z. odpadki, reciklaža sekundarnih surovin, d.o.o.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",13.371,0,13.371,0,0
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",119.63,119.63,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",30.526,30.526,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",272.14,272.14,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",295.266,295.266,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",59.92,59.92,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",949.8,949.8,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",608.83,608.83,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",543.8,543.8,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",196.26,196.26,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",97.786,97.786,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",533.01,533.01,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",523.9,523.9,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",88.965,88.965,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",92.053,92.053,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",293.3,293.3,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",409.82,409.82,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",47.682,47.682,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",235.067,235.067,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",706.7,706.7,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",607.03,607.03,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1154.892,1147.862,7.03,0,0
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1394.163,1390.013,4.15,0,0
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1683.26,1682.2,1.06,0,0
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.752,46.752,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",104.208,104.208,0,0,0
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",318.58,318.58,0,0,0
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",76.272,60.828,15.444,0,0
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",55.32,55.32,0,0,0
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",240.463,240.463,0,0,0
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",434.48,434.48,0,0,0
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",255.45999999999998,253.14,2.3200000000000003,0,0
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",160.904,159.945,0.959,0,0
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",130.397,130.397,0,0,0
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",205.68,205.68,0,0,0
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",440.19,440.19,0,0,0
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",256.10200000000003,215.21,40.892,0,0
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",11,11,0,0,0
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",285.756,136.758,148.998,0,0
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",754.88,727.11,27.77,0,0
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",377.7,377.24,0.46,0,0
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",162.553,162.553,0,0,0
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",27.06,27.06,0,0,0
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",424.7,424.7,0,0,0
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28.6,28.6,0,0,0
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",37,37,0,0,0
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",67.3,67.3,0,0,0
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",57.76,57.76,0,0,0
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",182.26,182.26,0,0,0
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.42,6.42,0,0,0
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",893.13,893.13,0,0,0
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",113.77,113.77,0,0,0
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.1,1.1,0,0,0
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",63.33,63.33,0,0,0
