"year","name_of_company","waste_code","type_of_waste","waste_category","total_waste_collected","municipal_waste_collected","waste_collected_from_activities","pct_municipal"
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",76.272,60.828,15.444,79.75141598489616
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",55.32,55.32,0,100
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",240.463,240.463,0,100
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",434.48,434.48,0,100
2019,"JAVNO PODJETJE KOMUNALA CERKNICA d.o.o. Cerknica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",255.46,253.14,2.32,99.09183433805683
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",160.904,128.723,32.181,79.99987570228213
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",130.397,103.013,27.384,78.99951686005046
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",205.68,183.055,22.625,88.99990276157138
2019,"JAVNO PODJETJE KOMUNALA ILIRSKA BISTRICA, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",440.19,352.591,87.599,80.09972966219134
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",256.102,192.076,64.026,74.99980476528883
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",11,8.25,2.75,75
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",285.756,134.305,151.451,46.99988801634962
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",754.88,724.685,30.195,96.00002649427722
2019,"JAVNO PODJETJE KOMUNALA Izola, d.o.o. Azienda pubblica KOMUNALA Isola, S.r.l.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",377.7,339.93,37.77,90
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",162.553,162.553,0,100
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",27.06,27.06,0,100
2019,"JAVNO PODJETJE KOMUNALA LAŠKO d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",424.7,424.7,0,100
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28.6,28.6,0,100
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",37,37,0,100
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",67.3,67.3,0,100
2019,"JAVNO PODJETJE KOMUNALA RADEČE d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",57.76,57.76,0,100
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",182.26,182.26,0,100
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6.42,6.42,0,100
2019,"JAVNO PODJETJE KOMUNALA SLOVENJ GRADEC d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",893.13,893.13,0,100
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",113.77,113.77,0,100
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.1,1.1,0,100
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",63.33,63.33,0,100
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",500.1,500.1,0,100
2019,"JAVNO PODJETJE KOMUNALA TRBOVLJE d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",172.3,172.3,0,100
2019,"JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",133.97,124.773,9.197,93.13503023064865
2019,"JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",224.68,210.637,14.043,93.74977746127826
2019,"JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",386,386,0,100
2019,"JAVNO PODJETJE KOMUNALA ZAGORJE, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",148.98,148.98,0,100
2019,"JAVNO PODJETJE KOMUNALA d.o.o. Sevnica","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",117.65,117.65,0,100
2019,"JAVNO PODJETJE KOMUNALA d.o.o. Sevnica","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5.76,5.76,0,100
2019,"JAVNO PODJETJE KOMUNALA d.o.o. Sevnica","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",223.73,223.73,0,100
2019,"JAVNO PODJETJE KOMUNALA d.o.o. Sevnica","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",244.12,244.12,0,100
2019,"JAVNO PODJETJE KOMUNALA d.o.o. Sevnica","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",127.2,127.2,0,100
2019,"JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",182.72,182.72,0,100
2019,"JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",37.16,37.16,0,100
2019,"JAVNO PODJETJE KOMUNALA ČRNOMELJ d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",376.11,376.11,0,100
2019,"JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50.024,46.022,4.002,91.99984007676315
2019,"JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",48.48,38.784,9.696,80
2019,"JAVNO PODJETJE KOMUNALA, d.o.o. Mozirje","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",224,127.78,96.22,57.04464285714286
2019,"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",166.008,166.008,0,100
2019,"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",71.802,71.802,0,100
2019,"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",281.75,281.75,0,100
2019,"JAVNO PODJETJE KOMUNALNO STANOVANJSKO PODJETJE Litija, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",614.63,614.63,0,100
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2052.201,1457.063,595.138,71.00001413116942
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",141.54,141.54,0,100
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8568.606,6083.71,2484.896,70.99999696566746
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4958.07,4830.91,127.16,97.43529236174561
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",6501.74,5730.52,771.22,88.13825222171296
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",114.25,102.825,11.425,90
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",23.32,23.32,0,100
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",383.467,353.467,30,92.17664101474182
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",474.61,474.61,0,100
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1401.1599999999999,1193.47,207.69,85.17728168089297
2019,"JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",136.16,106.2,29.96,77.99647473560518
2019,"JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",285.068,222.353,62.715,77.9999859682602
2019,"JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",204.44,204.44,0,100
2019,"JKP, JAVNO KOMUNALNO PODJETJE d.o.o. SLOVENSKE KONJICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",213.52,213.52,0,100
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",273.765,248.606,25.159,90.81000127846876
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",754.184,684.874,69.31,90.80993497608011
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1154.846,381.906,772.94,33.06986386063596
2019,"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1218.129,1004.221,213.908,82.43962667336547
2019,"Javno podjetje KOMUNALA Idrija d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",304.32,304.32,0,100
2019,"Javno podjetje KOMUNALA Idrija d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",235.067,235.067,0,100
2019,"Javno podjetje KOMUNALA Idrija d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",496.71,496.71,0,100
2019,"Javno podjetje KOMUNALA Idrija d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",381.26,381.26,0,100
2019,"Javno podjetje Komunala Brežice d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",201.98,171.683,30.297,85
2019,"Javno podjetje Komunala Brežice d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",177.05,141.64,35.41,79.99999999999999
2019,"Javno podjetje Komunalno podjetje Logatec, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",134.5,134.5,0,100
2019,"Javno podjetje Komunalno podjetje Logatec, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",201.392,176.392,25,87.5863986652896
2019,"Javno podjetje Komunalno podjetje Logatec, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",322.67,299.062,23.608,92.68354665757586
2019,"Javno podjetje Komunalno podjetje Logatec, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",140.77,130.38,10.39,92.61916601548624
2019,"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",164.319,77.779,86.54,47.3341488202825
2019,"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",786.966,728.868,58.098,92.61747013212769
2019,"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",597.45,572.714,24.736,95.85973721650348
2019,"Javno podjetje Komunalno podjetje Vrhnika, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",239.58,226.762,12.818,94.64980382335753
2019,"Javno podjetje OKOLJE Piran, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",586.066,410.246,175.82,69.99996587415069
2019,"Javno podjetje OKOLJE Piran, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",139.114,139.114,0,100
2019,"Javno podjetje OKOLJE Piran, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",591.47,591.47,0,100
2019,"Javno podjetje OKOLJE Piran, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",334.78,334.78,0,100
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",31.32,31.32,0,100
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",24.18,24.18,0,100
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5.76,0.46,5.3,7.986111111111112
2019,"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",153.62,146.88,6.74,95.61255044916027
2019,"Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",389.832,389.832,0,100
2019,"Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1125.506,901.999,223.507,80.14164295881142
2019,"Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2003.48,1602.784,400.696,80
2019,"Javno podjetje–Azienda pubblica MARJETICA KOPER, d.o.o.-s.r.l.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",386.27,270.389,115.881,70
2019,"KOMUNALA KRANJ, javno podjetje, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",683.354,683.354,0,100
2019,"KOMUNALA KRANJ, javno podjetje, d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",30.229,30.229,0,100
2019,"KOMUNALA KRANJ, javno podjetje, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",662.871,662.871,0,100
2019,"KOMUNALA KRANJ, javno podjetje, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1233.19,1233.19,0,100
2019,"KOMUNALA KRANJ, javno podjetje, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",825.947,825.947,0,100
2019,"KOMUNALA Komunalno podjetje Nova Gorica d.d.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",356.073,29.678,326.395,8.33480775009619
2019,"KOMUNALA Komunalno podjetje Nova Gorica d.d.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",17.328,0,17.328,0
2019,"KOMUNALA Komunalno podjetje Nova Gorica d.d.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1642.029,1432.67,209.359,87.24998157767007
2019,"KOMUNALA Komunalno podjetje Nova Gorica d.d.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1435.8,1257.564,178.236,87.58629335562057
2019,"KOMUNALA Komunalno podjetje Nova Gorica d.d.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1842.05,1244.948,597.102,67.58491897614071
2019,"KOMUNALA METLIKA javno podjetje d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",145.26,145.26,0,100
2019,"KOMUNALA METLIKA javno podjetje d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",11.14,11.14,0,100
2019,"KOMUNALA METLIKA javno podjetje d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",303.68,303.68,0,100
2019,"KOMUNALA METLIKA javno podjetje d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",304.57,304.57,0,100
2019,"KOMUNALA NOVO MESTO d.o.o., javno podjetje","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",690.317,634.61,55.707,91.93022915559084
2019,"KOMUNALA NOVO MESTO d.o.o., javno podjetje","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",61.58,61.58,0,100
2019,"KOMUNALA NOVO MESTO d.o.o., javno podjetje","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",212.407,195.266,17.141,91.93011529751843
2019,"KOMUNALA NOVO MESTO d.o.o., javno podjetje","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1283.46,1283.46,0,100
2019,"KOMUNALA NOVO MESTO d.o.o., javno podjetje","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",913.73,913.73,0,100
2019,"KOMUNALA RADGONA, javno podjetje d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",52.87,52.87,0,100
2019,"KOMUNALA RADGONA, javno podjetje d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",211.98,211.98,0,100
2019,"KOMUNALA RADGONA, javno podjetje d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",75.38,75.38,0,100
2019,"KOMUNALA RADGONA, javno podjetje d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",245.55,199.195,46.355,81.12197108531866
2019,"KOMUNALA RADOVLJICA, javno podjetje za komunalno dejavnost, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",160.21,160.21,0,100
2019,"KOMUNALA RADOVLJICA, javno podjetje za komunalno dejavnost, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",412.064,412.064,0,100
2019,"KOMUNALA RADOVLJICA, javno podjetje za komunalno dejavnost, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",569.03,563.41,5.62,99.01235435741525
2019,"KOMUNALA RADOVLJICA, javno podjetje za komunalno dejavnost, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",640.86,613.9,26.96,95.79315295072246
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",358.365,250.865,107.5,70.0026509285226
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",473.39,94.678,378.712,20
