"year","statistical_region","waste_code","type_of_waste","total_waste_given_away","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU"
2021,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",7661.079,614.109,7046.97,0,0
2021,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",9066.228,0,9066.228,0,0
2021,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)",10186.85,939.24,9247.61,0,0
2021,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",1170.981,0,1170.981,0,0
2021,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)",187.51,0,187.51,0,0
2021,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)",82.98,0,82.98,0,0
2021,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",2470.642,102.824,2367.818,0,0
2021,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",1154.02,0,1154.02,0,0
2021,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)",4086.72,1.6,4085.12,0,0
2021,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)",104.622,20.12,84.502,0,0
2021,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",1886.862,92.018,1794.844,0,0
2021,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)",252.083,1.64,250.443,0,0
2021,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",412.818,0,0,412.818,0
2021,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",1255.641,130.27,650.111,475.26,0
2021,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",2304.4,0,2304.4,0,0
2021,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)",553.25,0,553.25,0,0
2021,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",477.369,5.31,472.059,0,0
2021,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)",15.16,0,15.16,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",869.9,674.97,194.93,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",1336.9,0,1336.9,0,0
2021,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)",2137.5,0,2137.5,0,0
2021,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)",812.76,0,812.76,0,0
2021,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",6631.379,0,6631.379,0,0
2021,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)",4131.263,21.683,4109.58,0,0
2021,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)",525.088,27.7,497.388,0,0
2021,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",0.4,0,0.4,0,0
2021,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",2029.81,0,1173.03,856.78,0
2021,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",4842.783,213.381,4629.402,0,0
2021,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",2821.774,0,2821.774,0,0
2021,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)",11055.388,15.845,11039.543,0,0
2021,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",1115.923,100.994,1014.929,0,0
2021,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)",400.33,0,400.33,0,0
2021,"ZASAVSKA","17 02 01","Construction Wood Waste (17 02 01)",1.76,0,1.76,0,0
2021,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",524.934,18.31,506.624,0,0
2021,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",1072.175,0,1072.175,0,0
2021,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)",649.14,0,649.14,0,0
