"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated","waste_generated_collector_RS","waste_generated_processing_operator_RS","waste_generated_other_EU_country","waste_generated_other_country_outside_EU"
2017,"POMURSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",234.245,234.245,234.245,0,0
2017,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1928.17,1928.17,1928.17,1928.17,0
2017,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1923.6000000000001,0,3847.2000000000003,0,0
2017,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1363,0,1363,1363,0
2017,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",74.26,74.26,74.26,0,0
2017,"POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",7955.92,7955.92,15911.84,7955.92,0
2017,"POSAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",17.38,17.38,0,0,0
2017,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",338.58,0,338.58,0,0
2017,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",411.07,0,411.07,411.07,0
2017,"PRIMORSKO-NOTRANJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",13.32,0,0,13.32,0
2017,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14616.390000000001,0,29232.780000000002,58465.560000000005,0
2017,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2722.8109999999997,2722.8109999999997,8168.432999999999,0,0
2017,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",27.344,27.344,0,0,0
2017,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",586.701,0,1173.402,586.701,0
2017,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1106.56,1106.56,0,0,0
2017,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6455.534,0,12911.068,6455.534,0
2017,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.36,21.36,21.36,0,0
2017,"ZASAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",394.98,394.98,394.98,0,0
2017,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1216.06,0,1216.06,0,0
