"year","statistical_region","waste_code","type_of_waste","waste_category","waste_received_from_producers_no_list","waste_received_from_producers_with_list","waste_received_from_collectors_RS","waste_received_from_processors_RS","total_waste_collected"
2020,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",481.396,804.41,97.16,27.604,1410.57
2020,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,351.32,3.46,0,354.78
2020,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,7.88,0,0,7.88
2020,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,52.691,0,0,52.691
2020,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,39.92,0,0,39.92
2020,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",553.947,26.564,11.5,0,592.011
2020,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2185.32,0,0,0,2185.32
2020,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,392.44,0,0,392.44
2020,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1638.15,148.511,0,0,1786.661
2020,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,1239.69,0,0,1239.69
2020,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1901.801,46.864,0,0,1948.665
2020,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3656.435,2.585,0,0,3659.02
2020,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1853.894,46.316,0,0,1900.21
2020,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",0,2566.342,0,0,2566.342
2020,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4431.485,6121.739,18.58,29.6,10601.403999999999
2020,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",136.56,3612.518,0.79,175.83,3925.698
2020,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,872.125,0,0,872.125
2020,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,27.63,0,153.122,180.752
2020,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,8.751,0,0,8.751
2020,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",14914.315,32888.853,13350.882,355.99,61510.04
2020,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",9168.893,128.376,0,0,9297.269
2020,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",14110.673,18.077,0,0,14128.75
2020,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,145.42,5.72,0,151.14
2020,"PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",0,167.74,0,0,167.74
2020,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1837.827,186.304,3.55,0,2027.681
2020,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",41.559,863.765,0,0,905.324
2020,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,81.066,8.52,0,89.586
2020,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,0,156.54,0,156.54
2020,"PODRAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,2.24,0,0,2.24
2020,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7650.087,65.953,36.457,0,7752.497
2020,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",7595.377,1286.74,0,0,8882.117
2020,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7317.112,493.052,911.2,0,8721.364
2020,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",576.97,167.565,0,0,744.5350000000001
2020,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,117.18,0,0,117.18
2020,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,61.06,0,0,61.06
2020,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,0,0,34.1,34.1
2020,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2093.915,157.147,0,0,2251.062
2020,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",919.53,120.84,0,0,1040.37
2020,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4079.33,17.83,0,0,4097.16
2020,"POSAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,21.26,41.2,0,62.46000000000001
2020,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1266.946,800.829,213.42,0,2281.1949999999997
2020,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.26,200.785,0,0,204.045
2020,"POSAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,17.28,0,0,17.28
2020,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",514.813,149.702,30.66,0,695.175
2020,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",622.37,745.864,136.866,0,1505.1000000000001
2020,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",522.02,0,0,0,522.02
2020,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",487.552,250.225,0,0,737.777
2020,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,10.25,0,0,10.25
2020,"PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,8.58,0,0,8.58
2020,"PRIMORSKO-NOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",571.87,0,0,0,571.87
2020,"PRIMORSKO-NOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1231.68,14.09,0,0,1245.77
2020,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1727.848,32.89,0,0,1760.738
2020,"SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,57.44,0,44.82,102.25999999999999
2020,"SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",0,165.06,0,0,165.06
2020,"SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1629.155,2246.274,135.442,16.86,4027.7309999999998
2020,"SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.12,2411.204,109.74,98.44,2619.5040000000004
2020,"SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,341.36,0,0,341.36
2020,"SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,48.4,0,0,48.4
2020,"SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,0,0,880.34,880.34
2020,"SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",5177.723,63.79,81.9,74.74,5398.153
2020,"SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2986.485,0,0,0,2986.485
2020,"SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",10716.55,0,0,0,10716.55
2020,"ZASAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",403.632,761.185,115.58,0,1280.397
2020,"ZASAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.02,348.12,0,0,348.14
2020,"ZASAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",307.064,104.39,2.792,0,414.24600000000004
2020,"ZASAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",919.12,1.68,0,0,920.8
2020,"ZASAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",547.86,0,0,0,547.86
